variant,market_group,races,predicted_win_probability,actual_win_rate,win_roi
baseline,A_favorite,912,0.2791293542145166,0.34649122807017546,77.60964912280703
dedup,A_favorite,919,0.2772842968181618,0.34929270946681173,78.52013057671383
baseline,B_2_3,514,0.2320995284438814,0.14396887159533073,58.11284046692607
dedup,B_2_3,493,0.2317011380726574,0.13387423935091278,53.73225152129818
baseline,C_4_6,156,0.20034359617881714,0.08333333333333333,60.128205128205124
dedup,C_4_6,169,0.19747051029219134,0.07100591715976332,53.07692307692308
baseline,D_7_plus,45,0.15439627763699842,0.044444444444444446,76.0
dedup,D_7_plus,46,0.15100283343132379,0.043478260869565216,74.34782608695653
