variant,feature_count,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit
baseline_cleanup_b,104,1627,21528,0.06446136903359943,0.23532901444977786,0.7614559308898655,0.24892440073755379,0.5562384757221881,69.72956361401353,-49250.0
dedup_no_raw_margin,87,1627,21528,0.06448988558695871,0.23542236436928696,0.7612395710333453,0.2464658881376767,0.5519360786724032,68.24830977258759,-51660.0
