variant,month,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit
baseline_cleanup_b,2025-09,80,969,0.06989502751855872,0.25034578674423474,0.7623734533183353,0.275,0.575,60.12499999999999,-3190.0
baseline_cleanup_b,2025-10,92,1233,0.06297312421999675,0.2313807880415646,0.7671569561406851,0.2717391304347826,0.532608695652174,90.21739130434783,-900.0
baseline_cleanup_b,2025-11,123,1672,0.06414246611193831,0.24051372882774238,0.730683840085657,0.23577235772357724,0.5609756097560976,72.84552845528455,-3340.0
baseline_cleanup_b,2025-12,99,1340,0.06354037179937064,0.23116257646376084,0.7632123002791819,0.21212121212121213,0.5050505050505051,65.25252525252525,-3440.0
baseline_cleanup_b,2026-01,160,2155,0.06377438747388936,0.23210486014612244,0.7637625313283208,0.225,0.525,61.375,-6180.0
baseline_cleanup_b,2026-02,171,2326,0.06364245613346738,0.23339544039671672,0.7519314527618349,0.24561403508771928,0.5380116959064327,82.10526315789474,-3060.0
baseline_cleanup_b,2026-03,182,2422,0.06436479811676367,0.23428569228299642,0.765934065934066,0.21978021978021978,0.5714285714285714,57.58241758241758,-7720.0
baseline_cleanup_b,2026-04,160,2127,0.06359166228072573,0.23347363014619918,0.7619630147432639,0.29375,0.54375,80.1875,-3170.0
baseline_cleanup_b,2026-05,206,2792,0.06201583688059428,0.22557400888186574,0.7854372686384491,0.2669902912621359,0.587378640776699,77.37864077669903,-4660.0
baseline_cleanup_b,2026-06,135,1765,0.06498232916555015,0.23343788937507456,0.7781276982503976,0.21481481481481482,0.5925925925925926,52.2962962962963,-6440.0
baseline_cleanup_b,2026-07,144,1804,0.06796785417307066,0.24710095918412733,0.7519787483266399,0.2569444444444444,0.5486111111111112,65.06944444444444,-5030.0
baseline_cleanup_b,2026-08,75,923,0.0681329425976761,0.25102478123683536,0.7466981132075472,0.29333333333333333,0.5866666666666667,71.73333333333333,-2120.0
dedup_no_raw_margin,2025-09,80,969,0.06963607547646324,0.24983646206673213,0.7620500562429696,0.2875,0.55,63.87500000000001,-2890.0
dedup_no_raw_margin,2025-10,92,1233,0.06320463847935336,0.23160994978043054,0.7686716457722059,0.25,0.5652173913043478,81.30434782608695,-1720.0
dedup_no_raw_margin,2025-11,123,1672,0.06378133530143307,0.23898991065575098,0.7359429372214962,0.2601626016260163,0.5609756097560976,77.39837398373983,-2780.0
dedup_no_raw_margin,2025-12,99,1340,0.06363533037689698,0.2314317264715017,0.7627564932158002,0.1919191919191919,0.5151515151515151,60.2020202020202,-3940.0
dedup_no_raw_margin,2026-01,160,2155,0.06370149571382101,0.23203309575120243,0.7636591478696741,0.24375,0.5125,70.8125,-4670.0
dedup_no_raw_margin,2026-02,171,2326,0.06364331224078135,0.23324107710978376,0.7525623804290309,0.23976608187134502,0.5380116959064327,75.84795321637426,-4130.0
dedup_no_raw_margin,2026-03,182,2422,0.0646564973261408,0.23542820106251547,0.7636724882260598,0.2087912087912088,0.5824175824175825,54.94505494505495,-8200.0
dedup_no_raw_margin,2026-04,160,2127,0.06365209326424891,0.2340359590696095,0.7597705897305542,0.275,0.53125,70.6875,-4690.0
dedup_no_raw_margin,2026-05,206,2792,0.06217554316072357,0.22593342411929515,0.7852739546024523,0.27184466019417475,0.5533980582524272,77.66990291262135,-4600.0
dedup_no_raw_margin,2026-06,135,1765,0.06492358588430475,0.23377382529529653,0.7759100204498978,0.2074074074074074,0.5777777777777777,50.51851851851852,-6680.0
dedup_no_raw_margin,2026-07,144,1804,0.06809901123270434,0.24764327053931745,0.7500209170013388,0.25,0.5416666666666666,61.59722222222223,-5530.0
dedup_no_raw_margin,2026-08,75,923,0.06791319276124044,0.2492734342101608,0.7515408805031446,0.29333333333333333,0.6266666666666667,75.6,-1830.0
