distance_band,races,win_hit_rate,place_hit_rate,win_investment,win_return,win_roi,place_investment,place_return,place_roi
1700～2000m,612,0.27124183006535946,0.5637254901960784,61200,43010.0,70.27777777777777,61200,47510.0,77.63071895424837
1300～1600m,413,0.23486682808716708,0.5302663438256658,41300,28210.0,68.30508474576271,41300,30500.0,73.8498789346247
～1200m,330,0.21515151515151515,0.5060606060606061,33000,23410.0,70.93939393939394,33000,26470.0,80.21212121212122
2500m～,159,0.27044025157232704,0.5849056603773585,15900,10930.0,68.74213836477988,15900,12060.0,75.84905660377359
2100～2400m,113,0.23008849557522124,0.6283185840707964,11300,6810.0,60.26548672566372,11300,9230.0,81.68141592920354
