date,racecourse,race_name,horse_name,popularity,odds,ranker_win_probability,actual_rank,target,win_payout,place_payout
2026-06-27,小倉,薩摩ステークス,アレナパラシオ,6,93.0,0.1810219190419458,4,0,0.0,0.0
2026-06-28,函館,農林水産省賞典　函館記念,デビットバローズ,8,105.0,0.1535488793903465,11,0,0.0,0.0
2026-06-28,函館,湯の川温泉特別,クリエープキー,8,160.0,0.1710741825551846,1,1,1600.0,470.0
2026-06-28,福島,ラジオＮＩＫＫＥＩ賞,スカイスプレンダー,7,138.0,0.1660255844518425,16,0,0.0,0.0
2026-06-28,福島,,クアロアランチ,7,130.0,0.2412015604019617,4,0,0.0,0.0
2026-07-12,函館,巴賞,タシット,10,244.0,0.1610726935677821,7,0,0.0,0.0
2026-07-18,函館,,ウィズマスタング,6,96.0,0.2194947860948884,12,0,0.0,0.0
2026-07-18,福島,,ブルズアイプリンス,8,172.0,0.1821271583695562,10,0,0.0,0.0
2026-07-18,小倉,,トゥデイイズザデイ,6,92.0,0.3008212878444993,8,0,0.0,0.0
2026-07-26,新潟,,エテオクロス,6,180.0,0.1512007714922396,5,0,0.0,0.0
2026-07-26,中京,,フルールジェンヌ,6,80.0,0.2134276691072365,5,0,0.0,0.0
2026-08-02,札幌,,ココデイック,8,119.0,0.175261895722451,7,0,0.0,0.0
2026-08-02,新潟,,サトノフェンサー,6,136.0,0.190516777633418,13,0,0.0,0.0
2026-08-09,札幌,石狩特別,グランセゾン,6,115.0,0.2151342817003146,2,0,0.0,250.0
