prize_band,races,win_hit_rate,place_hit_rate,win_investment,win_return,win_roi,place_investment,place_return,place_roi
8.0-10.9M,576,0.24479166666666666,0.5416666666666666,57600,37760.0,65.55555555555556,57600,42920.0,74.51388888888889
11.0-15.9M,574,0.26480836236933797,0.573170731707317,57400,42430.0,73.9198606271777,57400,45340.0,78.98954703832753
16.0-24.9M,316,0.25,0.5537974683544303,31600,22300.0,70.56962025316456,31600,25860.0,81.83544303797468
25.0-49.9M,101,0.15841584158415842,0.4158415841584158,10100,5400.0,53.46534653465347,10100,6350.0,62.87128712871287
50M+,60,0.25,0.6166666666666667,6000,4480.0,74.66666666666667,6000,5300.0,88.33333333333333
