mode,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit,rule_bets,rule_win_roi,rule_profit
monthly_walk_forward,1735,22952,0.06451673848905733,0.2362614834432325,0.7572619503771852,0.25878962536023054,0.547550432276657,77.0835734870317,-39760.0,549,86.0655737704918,-7650.0
fixed,1735,22952,0.06447917548644469,0.2361366618277225,0.7579481490768034,0.2622478386167147,0.5481268011527377,77.73487031700287,-38630.0,562,85.92526690391459,-7910.0
