mode,month,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit,rule_bets,rule_win_roi,rule_profit
monthly_walk_forward,2025-09,80,969,0.07014193255202412,0.2525335288569418,0.7536768841394825,0.2,0.5875,40.25,-4780.0,32,53.125,-1500.0
monthly_walk_forward,2025-10,92,1233,0.06237476571630457,0.22977312010662673,0.7703863887512861,0.30434782608695654,0.5434782608695652,94.1304347826087,-540.0,34,101.47058823529412,50.0
monthly_walk_forward,2025-11,123,1672,0.06442178373859858,0.23943992096691596,0.7381893379940901,0.22764227642276422,0.5528455284552846,68.45528455284553,-3880.0,43,71.62790697674419,-1220.0
monthly_walk_forward,2025-12,99,1340,0.06313067854711708,0.2310079177528272,0.7622640587991112,0.2828282828282828,0.5050505050505051,75.95959595959596,-2380.0,22,55.45454545454545,-980.0
monthly_walk_forward,2026-01,160,2155,0.06342182374690393,0.23210387883216127,0.7628320802005013,0.26875,0.55,97.1875,-450.0,49,148.57142857142858,2380.0
monthly_walk_forward,2026-02,171,2326,0.06324097672575663,0.23243740850707253,0.7542312858712907,0.23976608187134502,0.5263157894736842,78.12865497076024,-3740.0,52,77.3076923076923,-1180.0
monthly_walk_forward,2026-03,182,2422,0.06452431634662507,0.2389414204243382,0.7438432103610675,0.26373626373626374,0.5384615384615384,86.97802197802199,-2370.0,59,118.13559322033898,1070.0
monthly_walk_forward,2026-04,160,2127,0.06473826330265749,0.23826301163936203,0.7486400610066092,0.225,0.51875,58.3125,-6670.0,51,47.84313725490196,-2660.0
monthly_walk_forward,2026-05,206,2792,0.062498677305409,0.2278654053687693,0.777423617837647,0.3058252427184466,0.558252427184466,92.5242718446602,-1540.0,62,92.41935483870968,-470.0
monthly_walk_forward,2026-06,135,1765,0.0656716718248305,0.23758213804208375,0.7632992501704159,0.2074074074074074,0.5259259259259259,65.4074074074074,-4670.0,44,111.13636363636363,490.0
monthly_walk_forward,2026-07,144,1804,0.06724079563217551,0.24476850208941747,0.7586638219544846,0.2569444444444444,0.5902777777777778,68.40277777777779,-4550.0,43,66.04651162790698,-1460.0
monthly_walk_forward,2026-08,183,2347,0.06567801702714803,0.2391709772011649,0.7622875064391988,0.2896174863387978,0.5737704918032787,77.10382513661203,-4190.0,58,62.58620689655172,-2170.0
fixed,2025-09,80,969,0.07014193255202412,0.2525335288569418,0.7536768841394825,0.2,0.5875,40.25,-4780.0,32,53.125,-1500.0
fixed,2025-10,92,1233,0.062319413651281304,0.22952863204977517,0.7702053881034943,0.29347826086956524,0.5217391304347826,73.69565217391305,-2420.0,30,48.0,-1560.0
fixed,2025-11,123,1672,0.06419603974336065,0.23847139756289756,0.7419053467487547,0.24390243902439024,0.5528455284552846,71.30081300813008,-3530.0,43,65.81395348837209,-1470.0
fixed,2025-12,99,1340,0.06347599997081019,0.23235898745562075,0.756387403446227,0.2727272727272727,0.5050505050505051,73.93939393939394,-2580.0,30,45.0,-1650.0
fixed,2026-01,160,2155,0.06322968709963057,0.23155933171108076,0.7640068922305766,0.25625,0.5625,93.0,-1120.0,59,143.22033898305085,2550.0
fixed,2026-02,171,2326,0.06315255296830723,0.2324780199220572,0.753536587020529,0.24561403508771928,0.5321637426900585,76.54970760233918,-4010.0,54,64.07407407407408,-1940.0
fixed,2026-03,182,2422,0.06454159568478884,0.23882805594490067,0.7434581043956044,0.27472527472527475,0.5384615384615384,97.58241758241758,-440.0,60,148.16666666666666,2890.0
fixed,2026-04,160,2127,0.0648320691695351,0.2389440176957381,0.7459265378749365,0.225,0.5125,59.375,-6500.0,49,42.44897959183673,-2820.0
fixed,2026-05,206,2792,0.06235087995735171,0.2274812730983819,0.7747636639410118,0.30097087378640774,0.5631067961165048,95.48543689320388,-930.0,75,102.26666666666667,170.0
fixed,2026-06,135,1765,0.06542819037324599,0.23654605308958995,0.7657623267439218,0.22962962962962963,0.5481481481481482,67.55555555555556,-4380.0,38,103.15789473684211,120.0
fixed,2026-07,144,1804,0.06726409819520054,0.24462814557004092,0.7597264056224899,0.2986111111111111,0.5902777777777778,77.91666666666667,-3180.0,35,64.57142857142857,-1240.0
fixed,2026-08,183,2347,0.06580563779640373,0.2393009226496845,0.7625400240396756,0.273224043715847,0.5573770491803278,73.98907103825137,-4760.0,57,74.3859649122807,-1460.0
