metric,percentile_bin,lower_threshold,upper_threshold,avg_gap_1_2,avg_gap_2_3,avg_gap_3_4,avg_entropy,avg_top1_share,avg_top2_share,avg_top3_share,races,top1_win_rate,top1_place_rate,top2_box_rate,top2_exact_order_rate,top3_box_rate,top2_order_rate,quinella_hit_rate,exacta_hit_rate,quinella_average_payout,exacta_average_payout,quinella_roi,exacta_roi,mean_top1_odds,win_roi_if_top1_100yen
gap_2_3,0-10%,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,
gap_2_3,10-20%,0.0,0.0032181336240138803,0.028689489190237828,0.0006647365090341397,0.016512855867572257,0.953494605680464,0.1480180460832997,0.2673466029763616,0.3860104233603893,86,0.26744186046511625,0.47674418604651164,0.05813953488372093,0.03488372093023256,0.05813953488372093,0.03488372093023256,0.05813953488372093,0.03488372093023256,544.0,860.0,31.627906976744185,30.0,218.46511627906978,98.6046511627907
gap_2_3,20-30%,0.0032181336240138803,0.007395219237263073,0.08539425161086134,0.005128965867162964,0.03543711264629729,0.869371235173141,0.23608323801447273,0.3867722244180841,0.5323322449545326,43,0.3023255813953488,0.627906976744186,0.20930232558139536,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.20930232558139536,0.09302325581395349,744.4444444444445,1385.0,155.8139534883721,128.8372093023256,31.72093023255814,80.23255813953489
gap_2_3,30-40%,0.007395219237263073,0.01268584662827853,0.06663438186570489,0.009916923196139647,0.03003300648274723,0.8853300947396708,0.21226426709537857,0.35789415232505223,0.4936071143585863,43,0.32558139534883723,0.5116279069767442,0.09302325581395349,0.06976744186046512,0.06976744186046512,0.06976744186046512,0.09302325581395349,0.06976744186046512,855.0,1546.6666666666667,79.53488372093022,107.90697674418605,46.30232558139535,86.74418604651163
gap_2_3,40-50%,0.01268584662827853,0.01979812844955625,0.06384873046295574,0.015661658414296436,0.03329652483620297,0.8857571334617539,0.21844754806854705,0.37304636567413835,0.5119835248654332,43,0.18604651162790697,0.4418604651162791,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.023255813953488372,510.0,820.0,11.86046511627907,19.069767441860467,39.72093023255814,37.67441860465116
gap_2_3,50-60%,0.01979812844955625,0.028294350040379678,0.052416683181365484,0.02252034958021421,0.03214221793212027,0.8960100268869833,0.20917700706701708,0.36593733095266867,0.5001773052581061,44,0.3181818181818182,0.6136363636363636,0.09090909090909091,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.09090909090909091,0.045454545454545456,922.5,1470.0,83.86363636363636,66.81818181818183,35.95454545454545,94.77272727272728
gap_2_3,60-70%,0.028294350040379678,0.0376881974974375,0.05364020234310036,0.03265039532902106,0.025334835905317297,0.8966949435010008,0.21016670357863695,0.36669320481417356,0.4905693107206891,43,0.3023255813953488,0.5813953488372093,0.18604651162790697,0.11627906976744186,0.023255813953488372,0.11627906976744186,0.18604651162790697,0.11627906976744186,591.25,906.0,110.00000000000001,105.34883720930233,38.06976744186046,86.9767441860465
gap_2_3,70-80%,0.0376881974974375,0.05949626895158415,0.04798374805810837,0.04922008849811965,0.022702601600889945,0.876312987287266,0.22326312059654688,0.39854249313498535,0.5246017771753042,43,0.27906976744186046,0.5813953488372093,0.16279069767441862,0.09302325581395349,0.06976744186046512,0.09302325581395349,0.16279069767441862,0.09302325581395349,617.1428571428571,1007.5,100.46511627906978,93.72093023255815,29.930232558139537,76.74418604651163
gap_2_3,80-90%,0.05949626895158415,0.0870220437161192,0.06578746015593785,0.0723035523170983,0.0243423238525698,0.8659490838288538,0.2575874434929469,0.4493874268299559,0.5688838578498667,43,0.09302325581395349,0.5116279069767442,0.20930232558139536,0.06976744186046512,0.09302325581395349,0.06976744186046512,0.20930232558139536,0.06976744186046512,520.0,610.0,108.83720930232559,42.55813953488372,33.093023255813954,14.651162790697676
gap_2_3,90-100%,0.0870220437161192,0.21713085700583903,0.05100127224438446,0.1241665796241774,0.026284153754270807,0.8357388768852922,0.2833965730152832,0.515791873786182,0.6240205949329033,44,0.29545454545454547,0.6818181818181818,0.20454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.20454545454545456,0.045454545454545456,288.8888888888889,395.0,59.09090909090909,17.954545454545453,30.15909090909091,69.0909090909091
