metric,percentile_bin,lower_threshold,upper_threshold,avg_gap_1_2,avg_gap_2_3,avg_gap_3_4,avg_entropy,avg_top1_share,avg_top2_share,avg_top3_share,races,top1_win_rate,top1_place_rate,top2_box_rate,top2_exact_order_rate,top3_box_rate,top2_order_rate,quinella_hit_rate,exacta_hit_rate,quinella_average_payout,exacta_average_payout,quinella_roi,exacta_roi,mean_top1_odds,win_roi_if_top1_100yen
normalized_entropy,0-10%,0.7157425979978939,0.8197120643952968,0.09993135389676983,0.07062887441525348,0.054558498462209185,0.790610429558479,0.3101834591402818,0.5204355643837938,0.6600587952120522,43,0.27906976744186046,0.7209302325581395,0.18604651162790697,0.06976744186046512,0.13953488372093023,0.06976744186046512,0.18604651162790697,0.06976744186046512,432.5,786.6666666666666,80.46511627906978,54.88372093023256,26.25581395348837,63.25581395348837
normalized_entropy,10-20%,0.8197120643952968,0.8452269764484985,0.079214949615385,0.039622059370161195,0.044190834544349585,0.8342150733491154,0.2617566454467806,0.44429834127817625,0.5872179777394106,43,0.37209302325581395,0.7209302325581395,0.16279069767441862,0.09302325581395349,0.06976744186046512,0.09302325581395349,0.16279069767441862,0.09302325581395349,498.57142857142856,717.5,81.16279069767441,66.74418604651163,27.41860465116279,88.37209302325581
normalized_entropy,20-30%,0.8452269764484985,0.8635970566994066,0.08401327065373065,0.048462955050236796,0.02733666862170366,0.855281928112109,0.26178933300809076,0.4395653953624509,0.5688785026665742,43,0.37209302325581395,0.7209302325581395,0.23255813953488372,0.11627906976744186,0.16279069767441862,0.11627906976744186,0.23255813953488372,0.11627906976744186,559.0,1308.0,130.0,152.09302325581396,26.348837209302324,94.41860465116278
normalized_entropy,30-40%,0.8635970566994066,0.8781438363904371,0.05912064103233751,0.033972139908974984,0.0307653011629332,0.8719889883701498,0.22378073591510075,0.388440830797864,0.5191287857716523,43,0.32558139534883723,0.6046511627906976,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.09302325581395349,0.046511627906976744,432.5,850.0,40.23255813953489,39.53488372093023,33.46511627906977,94.18604651162791
normalized_entropy,40-50%,0.8781438363904371,0.8904582954992804,0.05851022256491849,0.03279511155845622,0.02674505966247284,0.8842650116174283,0.22111187941501884,0.38371353626511917,0.5135200815567633,43,0.3023255813953488,0.5116279069767442,0.16279069767441862,0.09302325581395349,0.046511627906976744,0.09302325581395349,0.16279069767441862,0.09302325581395349,807.1428571428571,1090.0,131.3953488372093,101.39534883720931,38.348837209302324,87.44186046511628
normalized_entropy,50-60%,0.8904582954992804,0.9025415822480786,0.062451521985713306,0.030915462187610956,0.021156822414287478,0.8960102937769252,0.21802008041517754,0.3735886388446418,0.498241735086495,44,0.22727272727272727,0.45454545454545453,0.09090909090909091,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.022727272727272728,540.0,480.0,49.09090909090909,10.909090909090908,40.52272727272727,65.9090909090909
normalized_entropy,60-70%,0.9025415822480786,0.915692095238122,0.04057352770035897,0.034782183495369566,0.020730617059927226,0.9083350948957414,0.20036671951299684,0.3601599113256347,0.485170919642903,43,0.16279069767441862,0.3953488372093023,0.11627906976744186,0.06976744186046512,0.046511627906976744,0.06976744186046512,0.11627906976744186,0.06976744186046512,800.0,1740.0,93.02325581395348,121.3953488372093,37.44186046511628,53.25581395348837
normalized_entropy,70-80%,0.915692095238122,0.9309911859576914,0.035400322993846586,0.025256088170507725,0.0217117628570192,0.92312812619674,0.1859174927999818,0.336434662606117,0.4616957442417445,43,0.23255813953488372,0.5813953488372093,0.11627906976744186,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.023255813953488372,530.0,960.0,61.627906976744185,22.325581395348838,40.81395348837209,62.32558139534884
normalized_entropy,80-90%,0.9309911859576914,0.9999999999999998,0.027082244912509504,0.020089884624122995,0.017063299501960654,0.9480839132114149,0.1701701167507698,0.31325798858903003,0.43625597580316733,41,0.1951219512195122,0.4878048780487805,0.12195121951219512,0.07317073170731707,0.024390243902439025,0.07317073170731707,0.12195121951219512,0.07317073170731707,870.0,946.6666666666666,106.09756097560977,69.26829268292683,57.26829268292683,71.46341463414633
normalized_entropy,90-100%,0.9999999999999998,1.0000000000000004,0.0,0.0,0.0,1.0,0.1006063381063381,0.2012126762126762,0.3018190143190143,46,0.17391304347826086,0.32608695652173914,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,290.0,370.0,6.304347826086956,8.043478260869565,371.3478260869565,64.56521739130436
