metric,percentile_bin,lower_threshold,upper_threshold,avg_gap_1_2,avg_gap_2_3,avg_gap_3_4,avg_entropy,avg_top1_share,avg_top2_share,avg_top3_share,races,top1_win_rate,top1_place_rate,top2_box_rate,top2_exact_order_rate,top3_box_rate,top2_order_rate,quinella_hit_rate,exacta_hit_rate,quinella_average_payout,exacta_average_payout,quinella_roi,exacta_roi,mean_top1_odds,win_roi_if_top1_100yen
gap_3_4,0-10%,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,
gap_3_4,10-20%,0.0,0.004477861296746575,0.029119228443237454,0.02232418668572016,0.001037886710007361,0.9475888631746736,0.15354309239340333,0.27796695634356916,0.3800666336080149,86,0.19767441860465115,0.46511627906976744,0.05813953488372093,0.03488372093023256,0.05813953488372093,0.03488372093023256,0.05813953488372093,0.03488372093023256,498.0,653.3333333333334,28.953488372093023,22.790697674418606,216.86046511627907,62.32558139534884
gap_3_4,20-30%,0.004477861296746575,0.007808778859306942,0.05995435101336121,0.04254538335747811,0.006131979490060373,0.8878475667594539,0.2243160739072377,0.38867779680111425,0.5104941363375126,43,0.16279069767441862,0.4883720930232558,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.023255813953488372,670.0,1310.0,46.74418604651163,30.465116279069765,37.86046511627907,46.51162790697674
gap_3_4,30-40%,0.007808778859306942,0.012725171443358052,0.05422770943021145,0.03400930865482705,0.009816316947194008,0.9015542956811742,0.20180969192481044,0.34939167441940944,0.46296434825918137,43,0.2558139534883721,0.4883720930232558,0.046511627906976744,0.023255813953488372,0,0.023255813953488372,0.046511627906976744,0.023255813953488372,835.0,630.0,38.83720930232558,14.651162790697676,40.44186046511628,70.46511627906978
gap_3_4,40-50%,0.012725171443358052,0.01703991627153193,0.06666923851287618,0.04300539572962405,0.014700117257758827,0.8835263359364406,0.22851105023177382,0.3903528619506714,0.5091892779399451,43,0.23255813953488372,0.5116279069767442,0.11627906976744186,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.11627906976744186,0.046511627906976744,550.0,725.0,63.95348837209303,33.72093023255814,37.23255813953488,65.11627906976744
gap_3_4,50-60%,0.01703991627153193,0.022690913427504147,0.06631565097844573,0.029768572928730547,0.019592429766676172,0.894834479871336,0.22138898769976845,0.3764623244210911,0.5017670882136833,44,0.3409090909090909,0.75,0.1590909090909091,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.1590909090909091,0.022727272727272728,848.5714285714286,2840.0,135.0,64.54545454545455,36.52272727272727,99.77272727272727
gap_3_4,60-70%,0.022690913427504147,0.03131895270890343,0.061028927853258794,0.03759938269075987,0.02697482681804202,0.8765992573344761,0.2299944231460825,0.3989599184389062,0.5303260310409701,43,0.3488372093023256,0.5116279069767442,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.11627906976744186,0.13953488372093023,0.11627906976744186,418.3333333333333,650.0,58.372093023255815,75.5813953488372,33.06976744186046,65.11627906976744
gap_3_4,70-80%,0.03131895270890343,0.04156688038720262,0.06160475723893612,0.04013607514763153,0.03590897904112062,0.8727054830829983,0.23387439284353764,0.4061440284481392,0.5382775889051092,43,0.3953488372093023,0.5581395348837209,0.20930232558139536,0.18604651162790697,0.023255813953488372,0.18604651162790697,0.20930232558139536,0.18604651162790697,584.4444444444445,1041.25,122.32558139534883,193.72093023255815,36.18604651162791,115.81395348837209
gap_3_4,80-90%,0.04156688038720262,0.06883714737724081,0.05646596621447336,0.03805664220256077,0.05166884430458748,0.8721577855817761,0.23904040924924075,0.42161485228400813,0.5661326531162147,43,0.20930232558139536,0.627906976744186,0.23255813953488372,0.046511627906976744,0.09302325581395349,0.046511627906976744,0.23255813953488372,0.046511627906976744,598.0,1515.0,139.06976744186045,70.46511627906978,35.74418604651163,63.95348837209303
gap_3_4,90-100%,0.06883714737724081,0.16050200812917265,0.059069778681048374,0.02526043140930061,0.09443614715964246,0.8338225661954565,0.2606458659669972,0.46222195325294596,0.6385376091295942,44,0.29545454545454547,0.6363636363636364,0.20454545454545456,0.09090909090909091,0.1590909090909091,0.09090909090909091,0.20454545454545456,0.09090909090909091,528.8888888888889,1225.0,108.18181818181817,111.36363636363636,31.068181818181817,92.04545454545455
