recommendation,races,top1_win_rate,top1_place_rate,top2_box_rate,top2_exact_order_rate,top3_box_rate,top2_order_rate,quinella_hit_rate,exacta_hit_rate,quinella_average_payout,exacta_average_payout,quinella_roi,exacta_roi,mean_top1_odds,win_roi_if_top1_100yen
CHAOTIC_SKIP,87,0.1839080459770115,0.40229885057471265,0.06896551724137931,0.04597701149425287,0.04597701149425287,0.04597701149425287,0.06896551724137931,0.04597701149425287,773.3333333333334,802.5,53.333333333333336,36.896551724137936,223.33333333333334,67.81609195402298
FLAT_VALUE,38,0.21052631578947367,0.6578947368421053,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842,600.0,670.0,63.1578947368421,35.26315789473684,30.736842105263158,54.473684210526315
ONE_HORSE,31,0.5161290322580645,0.7096774193548387,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,670.0,900.0,43.225806451612904,58.06451612903226,20.612903225806452,90.64516129032259
THREE_HORSE,37,0.2972972972972973,0.6216216216216216,0.1891891891891892,0.10810810810810811,0.16216216216216217,0.10810810810810811,0.1891891891891892,0.10810810810810811,584.2857142857143,1225.0,110.54054054054055,132.43243243243242,33.189189189189186,102.7027027027027
TWO_HORSE_CONCENTRATED,24,0.4166666666666667,0.8333333333333334,0.25,0.08333333333333333,0.125,0.08333333333333333,0.25,0.08333333333333333,256.6666666666667,395.0,64.16666666666667,32.916666666666664,22.916666666666668,93.75
UNSET,215,0.24651162790697675,0.5255813953488372,0.14418604651162792,0.06046511627906977,0.037209302325581395,0.06046511627906977,0.14418604651162792,0.06046511627906977,624.516129032258,1204.6153846153845,90.04651162790698,72.83720930232558,37.63720930232558,71.30232558139535
