strategy,bets,hits,hit_rate,stake,return,roi
top1,38,8,0.21052631578947367,3800,2070.0,54.473684210526315
highest_odds_top3,38,4,0.10526315789473684,3800,2370.0,62.36842105263158
edge_top3,38,2,0.05263157894736842,3800,990.0,26.052631578947366
