distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1300～1600m,53,15,0.2830188679245283,90.56603773584906,0.5849056603773585,78.8679245283019,
1700～2000m,215,63,0.2930232558139535,88.93023255813954,0.6325581395348837,86.46511627906976,
2100～2400m,7,2,0.2857142857142857,94.28571428571428,0.7142857142857143,71.42857142857143,LOW SAMPLE
2500m～,26,4,0.15384615384615385,42.69230769230769,0.4230769230769231,59.61538461538461,LOW SAMPLE
～1200m,131,35,0.26717557251908397,67.48091603053436,0.45038167938931295,63.58778625954199,
