bin,predictions,mean_predicted_probability,actual_win_rate
0～5%,2365,0.025827912437867157,0.024101479915433405
5～10%,1726,0.07276654896208505,0.0660486674391657
10～20%,1120,0.1396341314312588,0.14017857142857143
20～30%,320,0.24038344369164738,0.2625
30～40%,47,0.32756780141978503,0.3829787234042553
40%以上,3,0.4232657212773242,0.6666666666666666
