distance_band,bets,win_hit_rate,win_roi,place_hit_rate,place_roi,sample_warning
1300～1600m,57,0.24561403508771928,73.33333333333333,0.6491228070175439,92.63157894736842,
1700～2000m,152,0.3026315789473684,66.90789473684211,0.5328947368421053,69.93421052631578,
2100～2400m,15,0.13333333333333333,50.66666666666667,0.6666666666666666,92.0,LOW SAMPLE
2500m～,33,0.18181818181818182,75.45454545454545,0.3333333333333333,46.06060606060606,
～1200m,97,0.27835051546391754,87.73195876288659,0.5051546391752577,76.28865979381443,
