prediction_month,train_start,train_end,train_races,train_horses,calibration_start,calibration_end,calibration_races,temperature,calibration_brier,evaluation_races,evaluation_horses
2026-06,2012-01-05,2026-05-31,16509,223425,2026-03-01,2026-05-31,548,0.7,0.06372005956620644,135,1765
2026-07,2012-01-05,2026-06-30,16644,225190,2026-04-04,2026-06-28,501,0.7,0.06358632294573975,144,1804
2026-08,2012-01-05,2026-07-31,16788,226994,2026-05-02,2026-07-26,485,0.7,0.06446610361763068,75,923
