popularity_band,bets,win_hit_rate,win_roi,place_hit_rate,place_roi,sample_warning
1番人気,197,0.37055837563451777,77.41116751269035,0.6548223350253807,82.03045685279187,
2～3番人気,114,0.14912280701754385,62.5438596491228,0.4298245614035088,67.89473684210526,
4～6番人気,32,0.15625,116.56249999999999,0.28125,61.5625,
7番人気以下,11,0.0,0.0,0.09090909090909091,30.909090909090907,LOW SAMPLE
