model,subset,races,auc,logloss,brier,top1,top3,win_roi,place_roi,win_max_drawdown,place_max_drawdown,win_max_losing_streak,place_max_losing_streak
v0,all,432,0.5637574358199723,0.3967241923172468,0.08004127356961369,0.1111111111111111,0.33564814814814814,47.013888888888886,69.65277777777777,27350.0,14150.0,38,15
v0,1plus_code_available,0,,,,,,,,0.0,0.0,0,0
v1,all,432,0.7588528516864116,0.24006444672535865,0.06606151123956573,0.27546296296296297,0.5879629629629629,79.93055555555556,76.73611111111111,9090.0,10280.0,18,9
v1,1plus_code_available,111,0.7491511968301897,0.24918404632617128,0.06881534571894543,0.2882882882882883,0.5855855855855856,76.84684684684684,74.05405405405405,3400.0,2950.0,10,7
v2,all,432,0.757945627701891,0.2404268600184191,0.06614418809009143,0.27314814814814814,0.5787037037037037,82.36111111111111,77.19907407407408,7770.0,10080.0,20,8
v2,1plus_code_available,111,0.7449479377095427,0.2500744744589604,0.06894873556375858,0.2702702702702703,0.5675675675675675,69.0990990990991,72.16216216216216,3680.0,3160.0,10,7
