month,races,top1_win_rate,win_ROI,place_ROI
2026-07,288,0.22569444444444445,65.9375,78.61111111111111
2026-08,144,0.2986111111111111,81.11111111111111,84.86111111111111
TOTAL,432,0.25,70.99537037037037,80.69444444444444
