bin,predictions,mean_predicted_probability,actual_win_rate
0～5%,2389,0.026104601148912044,0.02595228128924236
5～10%,1676,0.07224569974919541,0.06026252983293556
10～20%,1136,0.13830097516876974,0.1443661971830986
20～30%,330,0.2414844197286494,0.24242424242424243
30～40%,48,0.33119706611464944,0.5208333333333334
40%以上,2,0.4573774719572391,0
