phase,race_id,horse_id,horse_name,actual_rank,target,odds,win_odds,popularity,date,ranker_score,bt_strength,pl_strength,ranker_win_probability,bt_win_probability,pl_win_probability
calibration,2025-0802-01-01-03-10,2018105199,ビジューブリランテ,11,0,1156.0,115.5999984741211,14,2025-08-02 00:00:00,-1.8265185481247472,-1.3006635893374077,-0.7490109715631255,0.012116758844987714,0.008013474202631038,0.010834283957048996
calibration,2025-0802-01-01-03-10,2020100177,ロードマンハイム,2,0,149.0,14.899999618530273,6,2025-08-02 00:00:00,-0.3486490950880134,0.31975579588783787,0.23263905413892494,0.06894157919269205,0.08112646522966117,0.07717037177769752
calibration,2025-0802-01-01-03-10,2020101184,シャイニースイフト,14,0,735.0,73.5,13,2025-08-02 00:00:00,-1.6702129278229085,-1.0339770501226009,-0.6632390305494544,0.014562918773744729,0.011729478118680303,0.012861771071478166
calibration,2025-0802-01-01-03-10,2020105183,ウインルピナス,10,0,530.0,53.0,12,2025-08-02 00:00:00,-1.8131677844295273,-0.6815487767594922,-0.6236133784130602,0.012308576596595663,0.019405841567320926,0.013922562602908087
calibration,2025-0802-01-01-03-10,2020106966,ピンクジン,4,0,227.0,22.700000762939453,8,2025-08-02 00:00:00,-0.44498066006979936,0.2258323752359216,0.34900820623328327,0.061554823372894564,0.07093989158114877,0.09739295742070447
calibration,2025-0802-01-01-03-10,2021102115,アラタマフェーヴル,8,0,256.0,25.600000381469727,9,2025-08-02 00:00:00,-1.0791549925147406,-0.5836011810908505,-0.3188440468344163,0.02919042558965102,0.022320360060622386,0.02561170301777825
calibration,2025-0802-01-01-03-10,2021103519,リラボニート,1,1,40.0,4.0,2,2025-08-02 00:00:00,0.06803630735519572,0.7397483323955025,0.4394814847697572,0.11255900669741054,0.14782048141431883,0.11671096098717952
calibration,2025-0802-01-01-03-10,2021104978,マルカオペラ,12,0,207.0,20.700000762939453,7,2025-08-02 00:00:00,-0.6948085143349506,-0.009541546204711843,0.05384346159605766,0.04587925673855515,0.050682691502443616,0.05396978824302435
calibration,2025-0802-01-01-03-10,2021106826,レッセパッセ,13,0,468.0,46.79999923706055,11,2025-08-02 00:00:00,-1.462216930136256,-0.22863291019885307,-0.14805360043681703,0.018600336308480448,0.03706217096870504,0.0360400308578833
calibration,2025-0802-01-01-03-10,2021106827,マイネルバーテクス,9,0,428.0,42.79999923706055,10,2025-08-02 00:00:00,-0.7971752158296843,-0.2806084863559672,-0.08654900941860841,0.040673699453243964,0.03440995719694724,0.040757483662628144
calibration,2025-0802-01-01-03-10,2021106993,サクソンジェンヌ,7,0,132.0,13.199999809265137,5,2025-08-02 00:00:00,-0.4200644343148965,0.500529908084061,0.18062226716403787,0.06338589887260412,0.1050312545192041,0.06954555629924952
calibration,2025-0802-01-01-03-10,2022100084,ジェットマグナム,5,0,119.0,11.899999618530273,4,2025-08-02 00:00:00,-0.051536169741438695,0.1769454194554969,0.09995424511366958,0.0977882166519609,0.06615459905392448,0.05918368898669105
calibration,2025-0802-01-01-03-10,2022103345,ウォータークラーク,6,0,66.0,6.599999904632568,3,2025-08-02 00:00:00,0.5302999158049232,0.867372267024468,0.778769382708559,0.19389506825913694,0.1773842849807383,0.2300453021143592
calibration,2025-0802-01-01-03-10,2022104784,ルクスジニア,3,0,24.0,2.4000000953674316,1,2025-08-02 00:00:00,0.6700476939741429,0.8289867414933039,0.5844103230752563,0.22854343464804225,0.16791904960365378,0.15595353900136946
