method,phase,temperature_from_calibration,brier_score,log_loss,expected_calibration_error,calibration_slope,calibration_intercept,roc_auc,top1_hit_rate,top3_hit_rate,races,horses
ranker,calibration,0.85,0.06536271460974585,0.2389410093384,0.007113460265613079,0.9586031925352746,-0.08835525669574572,0.7562530486108155,0.24701195219123506,0.547808764940239,502,6587
bt,calibration,0.7,0.06557106220354214,0.2393171556841822,0.00447406564093515,0.9967785227972275,-0.006931127382626445,0.7552205311866749,0.24701195219123506,0.5398406374501992,502,6587
pl,calibration,0.5,0.06554125637288065,0.24170405472864384,0.0038809807705935027,0.9526380365427344,-0.10279613812311629,0.7485307741916476,0.2290836653386454,0.547808764940239,502,6587
ranker,validation,0.85,0.06459071583618185,0.2357821347152645,0.004393318267440665,1.0397015315418516,0.0851973875519029,0.7599841633766469,0.24087591240875914,0.5433901054339011,1233,16314
bt,validation,0.7,0.06490197697858127,0.23740827915774093,0.004281961462388752,1.0299635197343306,0.06511533211490807,0.7538629599675136,0.23357664233576642,0.5223033252230332,1233,16314
pl,validation,0.5,0.06512953305688235,0.23965529363285498,0.0038593735958219522,1.0233646650508326,0.050998159020655624,0.7446410631575704,0.23438767234387672,0.5247364152473641,1233,16314
