distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1300～1600m,53,13,0.24528301886792453,71.50943396226414,0.5660377358490566,76.60377358490567,
1700～2000m,215,64,0.29767441860465116,86.6046511627907,0.627906976744186,85.48837209302326,
2100～2400m,7,2,0.2857142857142857,94.28571428571428,0.8571428571428571,91.42857142857143,LOW SAMPLE
2500m～,26,5,0.19230769230769232,50.76923076923077,0.5,71.92307692307692,LOW SAMPLE
～1200m,131,35,0.26717557251908397,68.93129770992367,0.4732824427480916,67.17557251908397,
