distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1300～1600m,53,13,0.24528301886792453,71.50943396226414,0.6226415094339622,83.9622641509434,
1700～2000m,215,68,0.31627906976744186,97.20930232558139,0.6372093023255814,86.46511627906976,
2100～2400m,7,2,0.2857142857142857,94.28571428571428,0.7142857142857143,91.42857142857143,LOW SAMPLE
2500m～,26,4,0.15384615384615385,52.69230769230769,0.4230769230769231,60.38461538461538,LOW SAMPLE
～1200m,131,32,0.24427480916030533,68.85496183206106,0.4580152671755725,65.41984732824427,
