bin,predictions,mean_predicted_probability,actual_win_rate
0～5%,2366,0.02577101206423964,0.02324598478444632
5～10%,1726,0.07273672765929844,0.06720741599073002
10～20%,1117,0.13938756078699088,0.1396598030438675
20～30%,324,0.24034129082715522,0.2623456790123457
30～40%,45,0.32872003171337844,0.4
40%以上,3,0.42180902155962086,0.6666666666666666
