date,race_id,horse_id,horse_name,actual_rank,target,odds,win_odds,popularity,ranker_score,ranker_win_probability,prediction_rank,win_payout,model_train_end_date,evaluation_mode
2026-07-11,2026-0711-02-01-09-09,2021103520,デルシエロ,2,0,87.0,8.7,4,-0.37665520250738566,0.09195334729340741,4,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2022105525,モルビド,6,0,126.0,12.6,5,-0.4696448513581781,0.08051463734717511,5,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2022104724,ハルフロンティア,1,1,187.0,18.7,8,-0.4765582220517153,0.07972336896684039,6,1870.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2023106866,サイン,5,0,40.0,4.0,2,-0.48158367368159594,0.07915306724113107,7,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2023103986,メイショウソラリス,7,0,179.0,17.9,7,-1.3613818341654464,0.022522820121609194,8,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2019100907,ゼアズノープレイス,10,0,3033.0,303.3,10,-1.9371494741590527,0.009894745145789072,9,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2022103222,エオアリイ,4,0,1034.0,103.4,9,-1.9855562336802741,0.009233621276906816,10,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2021101595,ヴィヴァクラウン,7,0,68.0,6.8,3,0.06983845684585561,0.14577791698017137,1,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2023103293,ラスティングスノー,10,0,165.0,16.5,6,0.052625089512511755,0.14223687794226458,2,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2021110165,ピコアーガイル,2,0,25.0,2.5,1,-0.1309136153041703,0.1094311596502378,3,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2023110100,アスクケンタッキー,1,1,32.0,3.2,2,-0.1494310871192166,0.10657427302735191,4,320.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022106513,キーガッツ,11,0,162.0,16.2,5,-0.15897146919587207,0.1051316131856893,5,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2021100365,トウカイエルデ,5,0,82.0,8.2,4,-0.28740633971953183,0.08750838677983037,6,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022103527,ライツユーアップ,4,0,252.0,25.2,7,-0.5108034267812083,0.06359888519934749,7,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022101464,レイユール,9,0,312.0,31.2,8,-0.5298531923963016,0.06189144671115164,8,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022103556,キープサインオン,3,0,458.0,45.8,9,-0.7315099815292816,0.04640006516590236,9,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022100933,エルサトアナ,12,0,509.0,50.9,11,-0.8347355243915734,0.04003827223079457,10,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2021103242,ジーベック,8,0,473.0,47.3,10,-0.917807551641137,0.03555786885168166,11,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022105443,モレポブラーノ,14,0,842.0,84.2,12,-1.243254573247986,0.022336836155624793,12,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2021104217,ムチャスグラシアス,6,0,1381.0,138.1,14,-1.4311276827850323,0.017078955015594602,13,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022102995,フレッシュラン,13,0,1149.0,114.9,13,-1.4579272920773267,0.016437443104357633,14,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022101230,インパクトシー,7,0,35.0,3.5,1,1.0136611931401107,0.23246398490113507,1,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022104145,インヴォーグ,6,0,51.0,5.1,4,0.9396197096737297,0.20913119066455735,2,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022102982,ダンツファイター,2,0,48.0,4.8,3,0.7838911652394178,0.1674177879183745,3,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2021101485,カテリーナ,1,1,45.0,4.5,2,0.3292110142919831,0.08743969358683988,4,450.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2021106193,ウイントレメンデス,9,0,119.0,11.9,6,0.1441970452720992,0.06713084796570168,5,0.0,2026-06-30,monthly_walk_forward
