gap_strength_bin,gaps,mean_gap
0-10%,514,3.409060477623222e-07
10-20%,515,0.0005157418230908789
20-30%,515,0.001757881724989057
30-40%,515,0.0032244428874193126
40-50%,515,0.00513239320406902
50-60%,515,0.007667700612013454
60-70%,515,0.011481565579553207
70-80%,515,0.017663365008519206
80-90%,515,0.03076136308635677
90-100%,515,0.08193609012712412
