race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0704-02-01-07-01,1,2,アルテクィーン,ヌーンベルク,0.31459380829944483,0.23996415765607934,0.07462965064336549,1.3110033238810854,1,95.5719557195572,95.5719557195572,1
2026-0704-02-01-07-01,2,3,ヌーンベルク,ショウナンカノア,0.23996415765607934,0.10395282153511279,0.13601133612096655,2.308394847897661,2,99.06778015148574,99.06778015148574,1
2026-0704-02-01-07-02,1,2,トリニタリオ,ニシノマルガリート,0.2829702918501295,0.15457990241319733,0.12839038943693218,1.8305762096662495,1,98.77646144882502,98.77646144882502,1
2026-0704-02-01-07-03,3,4,ラショナルポイント,ウォータースパウト,0.2934418608744041,0.11108431270001046,0.18235754817439365,2.641613867359117,3,99.80578753155953,99.80578753155953,1
2026-0704-02-01-07-04,2,3,フルムーン,ブラックジャック,0.1866210644477368,0.09699347172498873,0.08962759272274806,1.9240579920355303,2,96.89260050495243,96.89260050495243,1
2026-0704-02-01-07-06,1,2,レッドフロイデ,ブレイズランナー,0.2854593083356183,0.1563658241173895,0.12909348421822878,1.8255863130380308,1,98.83472518935716,98.83472518935716,1
2026-0704-02-01-07-06,2,3,ブレイズランナー,メイショウセンドウ,0.1563658241173895,0.10765668172730261,0.04870914239008689,1.4524488550879593,2,91.61002136337153,91.61002136337153,1
2026-0704-02-01-07-07,1,2,デルマリシリ,メイショウハッケイ,0.41498549568149495,0.2494502075659503,0.16553528811554466,1.6636005226485129,1,99.61157506311905,99.61157506311905,1
2026-0704-02-01-07-07,3,4,ツルノマイハシ,ルージュナリッシュ,0.22940777441642732,0.0900889372664574,0.1393188371499699,2.5464588813819002,3,99.18430763255,99.18430763255,1
2026-0704-02-01-07-07,6,7,ストレイトアスク,ジュジュドール,0.08589333025440378,0.031879592002197935,0.054013738252205845,2.6943045647661323,6,92.67818993979414,92.67818993979414,1
2026-0704-02-01-07-08,2,3,ダノンヒストリー,グランアルト,0.22285710850417412,0.09481247346678265,0.12804463503739147,2.3505041093802035,2,98.75704020198097,98.75704020198097,1
2026-0704-02-01-07-10,2,3,ケイアイアギト,セボンサデッセ,0.2877568461792279,0.23096869168342465,0.05678815449580327,1.2458694902841614,2,93.12487861720723,93.12487861720723,1
2026-0704-02-01-07-10,3,4,セボンサデッセ,エアニゲラ,0.23096869168342465,0.15938303634234266,0.071585655341082,1.4491422486601488,3,95.08642454845601,95.08642454845601,1
2026-0704-02-01-07-11,1,2,サウスバンク,マーブルパレス,0.25651022816914615,0.17168169031810104,0.0848285378510451,1.4941035802587348,1,96.48475432122743,96.48475432122743,1
2026-0704-02-01-07-11,3,4,アンジュプロミス,エヴァンスウィート,0.16828204438997024,0.060249455196342915,0.10803258919362732,2.7930882336042235,3,97.96076908137502,97.96076908137502,1
2026-0704-02-01-07-12,2,3,ゴールドブレイズ,アチーヴァー,0.29459247947557365,0.09902194700708315,0.1955705324684905,2.9750220873207143,2,99.82520877840358,99.82520877840358,1
2026-0704-03-02-03-01,1,2,ウィンターブリーズ,コスモハナミズキ,0.3043754526315014,0.21681503227431023,0.08756042035719117,1.4038484759968644,1,96.71780928335599,96.71780928335599,1
2026-0704-03-02-03-01,2,3,コスモハナミズキ,レゾルーティオ,0.21681503227431023,0.14261526946966688,0.07419976280464335,1.5202792315336546,2,95.51369197902505,95.51369197902505,1
2026-0704-03-02-03-02,4,5,オープンザパンドラ,ミサダメキメル,0.1446195830795604,0.0688836112177974,0.07573597186176301,2.099477372379617,4,95.66906195377743,95.66906195377743,1
2026-0704-03-02-03-03,1,2,ワンダーブリッツ,イントゥザウインド,0.32524367959948147,0.2709546082320223,0.054289071367459196,1.2003622367661329,1,92.73645368032628,92.73645368032628,1
2026-0704-03-02-03-03,2,3,イントゥザウインド,キタノドンカルロ,0.2709546082320223,0.1873399315917357,0.08361467664028657,1.4463259697484332,2,96.38764808700718,96.38764808700718,1
