bin,predictions,mean_predicted_probability,actual_win_rate
0～5%,304,0.02461211997969601,0.019736842105263157
5～10%,155,0.07211630152747416,0.06451612903225806
10～20%,114,0.1383499042859465,0.16666666666666666
20～30%,42,0.24208169017418596,0.23809523809523808
30～40%,14,0.331500919950618,0.35714285714285715
40%以上,2,0.42174362497034595,0
