odds,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
10.0～19.9,75,42,0.56,89.06666666666668,0.8133333333333334,89.73333333333333,
20.0～,357,79,0.22128851540616246,76.02240896358543,0.5154061624649859,75.07002801120449,
