race_id,horse_name,actual_finish,odds,model_d_rank,model_e_rank,model_d_score,model_e_score,rank_change,last1_finish,last1_margin,last1_raw_performance,last1_adjusted_performance,hidden_strength_last1,max_hidden_strength_last3,max_strong_against_bias_last3,setup_improvement,last1_race_position_bias,last1_position_advantage
2026-0705-03-02-04-10,ワザモノ,2,136.0,8,6,0.02631322255101145,0.02908150361199907,2,7,6.0,0.4295629294420951,0.4295629294420951,0.0,0.02203856749311295,0.0881542699724518,-0.0,0.0,0.0
2026-0705-03-02-04-11,ハビレ,5,145.0,8,6,0.05279662349667852,0.06531917922938359,2,10,16.0,0.3600000450140699,0.3600000450140699,0.0,0.0043845663265306145,0.017538265306122448,-0.0,0.0,0.0
2026-0705-10-02-04-07,ナムラオットー,15,702.0,8,6,0.025793063680956654,0.03097538366689534,2,9,13.0,0.3425722015821041,0.3425722015821041,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0705-10-02-04-10,ワイノナオミ,3,315.0,12,10,0.0227167977321331,0.02345087971670442,2,6,4.0,0.46768264341254484,0.46768264341254484,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0705-10-02-04-11,アメリカンビキニ,13,152.0,9,7,0.0715050874899898,0.08183728752470658,2,1,0.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0711-02-01-09-04,インフィオラータ,3,81.0,8,6,0.09004543471801937,0.1025888629779803,2,4,1.0,0.6228854629478813,0.6228854629478813,0.0,0.019259259259259254,0.07703703703703701,-0.0,-0.2,0.0
2026-0711-03-02-05-03,マイネルリコルディ,6,156.0,9,7,0.0698315850789957,0.0643800766299621,2,6,7.0,0.39239443031820453,0.39239443031820453,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0711-10-02-05-03,メイショウタカネ,16,1476.0,14,12,0.01912484366071737,0.021043900975108852,2,10,16.0,0.3157337314933742,0.3157337314933742,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0711-10-02-05-10,ニホンピロトッティ,10,321.0,15,13,0.03017070972165927,0.03154770859445656,2,14,13.0,0.2162547278862498,0.2162547278862498,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0712-03-02-06-02,フィーユレアル,3,399.0,13,11,0.019974748207173484,0.02797678697026881,2,8,12.0,0.36906947749757896,0.36906947749757896,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0712-03-02-06-11,コントラポスト,9,151.0,8,6,0.044945323614505504,0.06030107643956952,2,5,4.0,0.4739929222221604,0.4739929222221604,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0712-03-02-06-12,フェンダー,6,68.0,6,4,0.052355591360635625,0.05973714124030566,2,6,2.0,0.4977268726233618,0.4977268726233618,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-02-01-11-01,サンゴート,8,1369.0,5,3,0.10673648655032979,0.10816360662901453,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-0718-02-01-11-01,ロードレスポンス,5,284.0,8,6,0.07222815939047457,0.07446841278650311,2,7,8.0,0.34064871106799227,0.34064871106799227,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-02-01-11-02,メモリーデイズ,1,85.0,5,3,0.0550426754421166,0.07086056494137644,2,6,13.0,0.4225722015821041,0.4225722015821041,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-02-01-11-02,ジェッディンデデン,7,267.0,6,4,0.05338870914386762,0.061441371992586674,2,6,12.0,0.3739179623460638,0.3739179623460638,0.0,0.0006198347107437829,0.002479338842975205,-0.0,0.0,0.0
2026-0718-02-01-11-02,レディリリス,12,236.0,8,6,0.04745728931084379,0.05835592323194342,2,8,13.0,0.3935991588972203,0.3935991588972203,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-02-01-11-06,イーサンミラー,11,210.0,7,5,0.08943633941257757,0.10705314162936116,2,8,7.0,0.36960271690322977,0.36960271690322977,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-02-01-11-09,コウギョク,6,206.0,7,5,0.0739756780102878,0.07854409474527259,2,12,15.0,0.2000001223609282,0.2000001223609282,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-02-01-11-11,マーブルロック,12,127.0,11,9,0.034835445892388635,0.051099128950275095,2,8,15.0,0.41333345569426155,0.41333345569426155,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-03-02-07-11,サヴォンリンナ,16,242.0,11,9,0.026397314089278003,0.027341607589355093,2,12,9.0,0.34122583450987,0.34122583450987,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-10-02-07-11,ロードトレイル,5,184.0,5,3,0.06546607881771783,0.06483675053000945,2,6,11.0,0.3039549585412601,0.3039549585412601,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0718-10-02-07-11,ミロワール,4,100.0,10,8,0.04322472093895391,0.04986692003361071,2,1,0.0,0.9778764177340955,0.9778764177340955,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0719-02-01-12-02,ハネマン,10,979.0,8,6,0.02964784761481556,0.03623244897448624,2,15,14.0,0.18240068575745857,0.18240068575745857,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0719-02-01-12-02,ラブデウザ,5,372.0,10,8,0.020909974240405194,0.025746286670358564,2,9,17.0,0.2648246121299642,0.2648246121299642,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0719-02-01-12-11,ダマスク,9,1042.0,8,6,0.0844267886397641,0.08865209121717571,2,1,0.0,0.9586963441986495,0.9586963441986495,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0719-03-02-08-08,トーセンブリラーレ,10,54.0,7,5,0.13582843577626258,0.14681966667632101,2,6,6.0,0.45813435801352365,0.45813435801352365,0.0,0.002669270833333348,0.010677083333333347,-0.0,0.0,0.0
2026-0719-03-02-08-12,メリーサウンド,7,1625.0,13,11,0.013975138137184586,0.02163805309114706,2,12,26.0,0.2908631150105673,0.2908631150105673,0.0,0.029585798816568032,0.11834319526627222,-0.0,0.0,0.0
2026-0719-10-02-08-02,ドゥボヌール,11,407.0,9,7,0.06643278784325161,0.07887781146598101,2,4,3.0,0.5006485138264498,0.5006485138264498,0.0,0.0,-0.0,-0.0,0.0,0.0
