popularity,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1番人気,237,93,0.3924050632911392,88.9873417721519,0.7172995780590717,89.74683544303798,
2～3番人気,133,23,0.17293233082706766,73.98496240601504,0.46616541353383456,73.00751879699247,
4～6番人気,40,3,0.075,66.25,0.275,55.25,
7番人気以下,22,0,0,0.0,0,0.0,LOW SAMPLE
