distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1300～1600m,53,15,0.2830188679245283,80.0,0.6226415094339622,83.20754716981132,
1700～2000m,215,58,0.26976744186046514,77.3953488372093,0.6139534883720931,90.97674418604652,
2100～2400m,7,2,0.2857142857142857,94.28571428571428,0.8571428571428571,91.42857142857143,LOW SAMPLE
2500m～,26,4,0.15384615384615385,52.69230769230769,0.34615384615384615,46.53846153846154,LOW SAMPLE
～1200m,131,31,0.2366412213740458,58.62595419847329,0.48091603053435117,72.90076335877863,
