margin_bin,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
0,5,1,0.2,50.0,0.6,72.0,LOW SAMPLE
0.81+,5,1,0.2,42.0,0.6,72.0,LOW SAMPLE
