racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
函館,芝,1700～2000m,5,2,0.4,92.0,0.8,100.0,LOW SAMPLE
函館,芝,2500m～,1,0,0,0.0,0,0.0,LOW SAMPLE
函館,芝,～1200m,4,0,0,0.0,0.5,55.00000000000001,LOW SAMPLE
