bin,predictions,mean_predicted_probability,actual_win_rate
0～5%,42,0.026506325174040807,0.023809523809523808
5～10%,29,0.07314178962324572,0.034482758620689655
10～20%,25,0.13341209347720298,0.2
20～30%,9,0.25548859096634313,0.1111111111111111
30～40%,4,0.3187857404862704,0.5
40%以上,1,0.4333413296643022,0
