metric,percentile_bin,threshold_low,threshold_high,races
gap_1_2,0-10,0.0,0.0,0
gap_1_2,10-20,0.0,0.006982782614358929,86
gap_1_2,20-30,0.006982782614358929,0.01665117701191859,43
gap_1_2,30-40,0.01665117701191859,0.026913985977903267,43
gap_1_2,40-50,0.026913985977903267,0.038266694671143325,43
gap_1_2,50-60,0.038266694671143325,0.050111418149973455,44
gap_1_2,60-70,0.050111418149973455,0.06908844677356704,43
gap_1_2,70-80,0.06908844677356704,0.09176068815572191,43
gap_1_2,80-90,0.09176068815572191,0.12516583678130894,43
gap_1_2,90-100,0.12516583678130894,0.31545307562762687,44
