recommendation,races,top1_win_rate,top2_box_rate,top2_exact_order_rate,top3_box_rate,top2_order_rate,quinella_hit_rate,exacta_hit_rate,quinella_average_payout,exacta_average_payout,quinella_roi,exacta_roi,mean_top1_odds,win_roi_if_top1_100yen
CHAOTIC_SKIP,87,0.1839080459770115,0.06896551724137931,0.04597701149425287,0.04597701149425287,0.04597701149425287,0.06896551724137931,0.04597701149425287,,,,,223.33333333333334,678.1609195402299
FLAT_VALUE,38,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842,,,,,30.736842105263158,544.7368421052632
ONE_HORSE,31,0.5161290322580645,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,,,,,20.612903225806452,906.4516129032259
THREE_HORSE,37,0.2972972972972973,0.1891891891891892,0.10810810810810811,0.16216216216216217,0.10810810810810811,0.1891891891891892,0.10810810810810811,,,,,33.189189189189186,1027.027027027027
TWO_HORSE_ORDERED,10,0.4,0.4,0.1,0.2,0.1,0.4,0.1,,,,,20.1,620.0
TWO_HORSE_UNORDERED,14,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,,,,,24.928571428571427,1164.2857142857142
UNSET,215,0.24651162790697675,0.14418604651162792,0.06046511627906977,0.037209302325581395,0.06046511627906977,0.14418604651162792,0.06046511627906977,,,,,37.63720930232558,713.0232558139535
