metric,percentile_bin,threshold_low,threshold_high,races,top1_win_rate,top2_box_rate,top2_exact_order_rate,top3_box_rate,top2_order_rate,quinella_hit_rate,exacta_hit_rate,quinella_average_payout,exacta_average_payout,quinella_roi,exacta_roi,mean_top1_odds,win_roi_if_top1_100yen
normalized_entropy,0-10,0.7157425979978939,0.8197120643952968,43,0.27906976744186046,0.18604651162790697,0.06976744186046512,0.13953488372093023,0.06976744186046512,0.18604651162790697,0.06976744186046512,,,,,26.25581395348837,632.5581395348837
normalized_entropy,10-20,0.8197120643952968,0.8452269764484985,43,0.37209302325581395,0.16279069767441862,0.09302325581395349,0.06976744186046512,0.09302325581395349,0.16279069767441862,0.09302325581395349,,,,,27.41860465116279,883.7209302325581
normalized_entropy,20-30,0.8452269764484985,0.8635970566994066,43,0.37209302325581395,0.23255813953488372,0.11627906976744186,0.16279069767441862,0.11627906976744186,0.23255813953488372,0.11627906976744186,,,,,26.348837209302324,944.186046511628
normalized_entropy,30-40,0.8635970566994066,0.8781438363904371,43,0.32558139534883723,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.09302325581395349,0.046511627906976744,,,,,33.46511627906977,941.8604651162791
normalized_entropy,40-50,0.8781438363904371,0.8904582954992804,43,0.3023255813953488,0.16279069767441862,0.09302325581395349,0.046511627906976744,0.09302325581395349,0.16279069767441862,0.09302325581395349,,,,,38.348837209302324,874.4186046511627
normalized_entropy,50-60,0.8904582954992804,0.9025415822480786,44,0.22727272727272727,0.09090909090909091,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.022727272727272728,,,,,40.52272727272727,659.0909090909091
normalized_entropy,60-70,0.9025415822480786,0.915692095238122,43,0.16279069767441862,0.11627906976744186,0.06976744186046512,0.046511627906976744,0.06976744186046512,0.11627906976744186,0.06976744186046512,,,,,37.44186046511628,532.5581395348837
normalized_entropy,70-80,0.915692095238122,0.9309911859576914,43,0.23255813953488372,0.11627906976744186,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.023255813953488372,,,,,40.81395348837209,623.2558139534884
normalized_entropy,80-90,0.9309911859576914,0.9999999999999998,41,0.1951219512195122,0.12195121951219512,0.07317073170731707,0.024390243902439025,0.07317073170731707,0.12195121951219512,0.07317073170731707,,,,,57.26829268292683,714.6341463414634
normalized_entropy,90-100,0.9999999999999998,1.0000000000000004,46,0.17391304347826086,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,,,,,371.3478260869565,645.6521739130435
