metric,percentile_bin,threshold_low,threshold_high,races
gap_2_3,0-10,0.0,0.0,0
gap_2_3,10-20,0.0,0.0032181336240138803,86
gap_2_3,20-30,0.0032181336240138803,0.007395219237263073,43
gap_2_3,30-40,0.007395219237263073,0.01268584662827853,43
gap_2_3,40-50,0.01268584662827853,0.01979812844955625,43
gap_2_3,50-60,0.01979812844955625,0.028294350040379678,44
gap_2_3,60-70,0.028294350040379678,0.0376881974974375,43
gap_2_3,70-80,0.0376881974974375,0.05949626895158415,43
gap_2_3,80-90,0.05949626895158415,0.0870220437161192,43
gap_2_3,90-100,0.0870220437161192,0.21713085700583903,44
