metric,percentile_bin,threshold_low,threshold_high,races
gap_3_4,0-10,0.0,0.0,0
gap_3_4,10-20,0.0,0.004477861296746575,86
gap_3_4,20-30,0.004477861296746575,0.007808778859306942,43
gap_3_4,30-40,0.007808778859306942,0.012725171443358052,43
gap_3_4,40-50,0.012725171443358052,0.01703991627153193,43
gap_3_4,50-60,0.01703991627153193,0.022690913427504147,44
gap_3_4,60-70,0.022690913427504147,0.03131895270890343,43
gap_3_4,70-80,0.03131895270890343,0.04156688038720262,43
gap_3_4,80-90,0.04156688038720262,0.06883714737724081,43
gap_3_4,90-100,0.06883714737724081,0.16050200812917265,44
