feature,gain,split
last1_raw_performance,137156.7910785675,34.0
mean_adjusted_performance_last3,70245.57763671875,110.0
last1_finish,63132.683906555176,83.0
career_place_rate,38483.216886520386,111.0
recent5_place_rate,27220.351667404175,25.0
mean_margin_last3,21864.882598876953,35.0
field_size,21281.181958198547,161.0
prize_ratio_vs_last3_mean,18804.559252738953,187.0
prize_change_from_last3_mean,16599.67323589325,58.0
career_races,14761.521015167236,159.0
best_strong_opponent_performance_last3,11641.634973526001,32.0
recent3_place_rate,7430.918991088867,7.0
last2_raw_performance,7212.987722396851,35.0
race_first_prize,7118.604381561279,58.0
prize_change_from_last1,6713.073440551758,12.0
weighted_margin_last3,6586.685261726379,69.0
last2_finish,6523.606882095337,35.0
prize_ratio_vs_last1,6294.571741104126,42.0
last1_margin_x_prize_strength,5915.45919418335,23.0
horse_expected_position,4819.387401580811,71.0
last1_distance,4121.084302902222,72.0
career_win_rate,3783.94180393219,61.0
course_geometry_fit,3481.9398231506348,45.0
current_distance,3152.410185813904,70.0
margin_x_field_strength,3114.8465671539307,30.0
races_last_180d,3007.861291885376,60.0
course_final_straight_m,2992.5870056152344,47.0
last1_field_top3_mean_strength_v2,2801.4647932052612,53.0
course_first_corner_distance_m,2576.7432708740234,33.0
condition_code_13,1829.1105003356934,25.0
expected_position_mean,1797.5509052276611,46.0
expected_position_std,1792.1511993408203,21.0
last3_field_top3_mean_strength_v2,1751.7248058319092,31.0
best_adjusted_performance_last3,1743.2325687408447,20.0
weighted_adjusted_performance_last3,1588.6777048110962,19.0
last2_adjusted_performance,1480.9734935760498,14.0
last1_margin_x_winner_strength_v2,1394.5539112091064,10.0
recent3_win_rate,1240.3915042877197,26.0
last1_adjusted_performance,1174.117317199707,18.0
last2_field_top3_mean_strength_v2,1148.837890625,24.0
course_elevation_difference_m,886.5970993041992,23.0
last1_race_first_prize,880.9110927581787,16.0
last3_finish,840.4900016784668,18.0
career_wins,813.5723857879639,9.0
condition_code_12,615.9644012451172,13.0
last2_position_advantage,590.3126001358032,20.0
course_gentle_corners,522.4791927337646,14.0
last2_distance,519.1791000366211,10.0
last3_adjusted_performance,518.7813091278076,9.0
last1_field_strength_v2,517.0251951217651,14.0
last1_class_grade:E|condition:11,503.25749588012695,13.0
last1_winner_strength,487.8965892791748,5.0
best_margin_last3,486.01259994506836,9.0
max_race_prize_last3,481.9650936126709,5.0
last3_field_strength_v2,473.25089263916016,12.0
gate_x_expected_position,448.4768981933594,12.0
last2_field_strength_v2,435.928503036499,11.0
last2_margin_x_prize_strength,425.9009017944336,11.0
last3_field_strength,400.1191940307617,8.0
last1_position_advantage,336.53760051727295,9.0
weighted_race_prize_last3,333.7757034301758,10.0
last3_position_advantage,310.0160026550293,10.0
expected_front_count,299.04599380493164,6.0
gate_position_pct,268.3544979095459,6.0
recent5_win_rate,265.4852981567383,8.0
race_total_top5_prize,247.0482006072998,5.0
mean_race_prize_last3,236.37090301513672,4.0
last1_field_strength,188.64830207824707,8.0
mean_winner_strength_last3,186.9457015991211,6.0
rear_density,184.45470142364502,5.0
race_class_score,171.927001953125,1.0
last2_winner_strength_v2,168.9714994430542,5.0
course_mostly_flat,163.04779815673828,3.0
race_position_bias_last1,145.69320106506348,8.0
mid_density,137.63880157470703,6.0
last3_margin_x_prize_strength,134.20919609069824,5.0
last3_class_grade:unknown|condition:14,126.47049903869629,5.0
last3_field_max_strength_v2,109.51520252227783,5.0
course_final_uphill,106.96330261230469,3.0
race_second_prize,104.57250213623047,4.0
condition_code_14,103.15140151977539,3.0
race_third_prize,97.34280395507812,2.0
races_last_365d,91.09480094909668,4.0
last3_distance,87.15959930419922,4.0
last2_race_first_prize,86.61709976196289,3.0
last3_raw_performance,83.95509719848633,3.0
margin_x_winner_strength,83.09550094604492,2.0
setup_improvement,82.93550109863281,2.0
last1_margin,81.02900123596191,2.0
last2_field_max_strength_v2,75.90010261535645,3.0
race_class_change,72.22429943084717,4.0
last2_class_grade:unknown|condition:11,72.0708999633789,3.0
last2_winner_strength,56.18659973144531,3.0
hidden_strength_last2,55.508100509643555,3.0
race_position_bias_last3,54.38000011444092,3.0
