ev_band,lower_ev,upper_ev,total_races,bets,bet_rate,wins,hit_rate,average_predicted_probability,actual_win_rate,average_odds,average_popularity,average_ev,total_stake,total_payout,win_roi,profit
EV < 0.6,0.0,0.6,1627,428,0.26306084818684694,155,0.3621495327102804,0.22763250161485774,0.3621495327102804,2.2712616728287993,1.0794392523364487,0.48284289519241075,42800.0,31420.0,73.41121495327103,-11380.0
0.6 <= EV < 0.8,0.6,0.8,1627,438,0.26920712968653965,143,0.3264840182648402,0.2633373645272283,0.3264840182648402,2.984931504617543,1.3242009132420092,0.702468977163547,43800.0,37400.0,85.38812785388129,-6400.0
0.8 <= EV < 1.0,0.8,1.0,1627,292,0.17947141979102643,56,0.1917808219178082,0.2815236683163334,0.1917808219178082,3.6273972543135082,1.7226027397260273,0.8988692423327402,29200.0,17110.0,58.59589041095891,-12090.0
1.0 <= EV < 1.2,1.0,1.2,1627,179,0.11001843884449908,30,0.16759776536312848,0.26166578701210386,0.16759776536312848,4.636871500388204,2.2346368715083798,1.0936016234454422,17900.0,12160.0,67.93296089385474,-5740.0
1.2 <= EV < 1.5,1.2,1.5,1627,125,0.07682851874615858,12,0.096,0.26165694479966917,0.096,5.645600006103516,2.968,1.328678903690436,12500.0,6930.0,55.44,-5570.0
1.5 <= EV < 2.0,1.5,2.0,1627,88,0.054087277197295634,6,0.06818181818181818,0.24018478011962968,0.06818181818181818,7.89431817965074,4.2272727272727275,1.6956481674922705,8800.0,3830.0,43.52272727272727,-4970.0
EV >= 2.0,2.0,,1627,77,0.04732636754763368,3,0.03896103896103896,0.2131379225097086,0.03896103896103896,19.406493440850987,6.363636363636363,3.464617601590468,7700.0,4600.0,59.74025974025974,-3100.0
