market_group,races,predicted_win_probability,actual_win_rate,average_odds,win_roi,profit
A_favorite,912,0.2791293542145166,0.34649122807017546,2.5111842105263156,77.60964912280703,-20420.0
B_2_3,514,0.2320995284438814,0.14396887159533073,4.447859922178988,58.11284046692607,-21530.0
C_4_6,156,0.20034359617881714,0.08333333333333333,8.481410256410255,60.128205128205124,-6220.0
D_7_plus,45,0.15439627763699842,0.044444444444444446,25.86444444444444,76.0,-1080.0
