popularity,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1番人気,32,10,0.3125,62.81250000000001,0.6875,83.125,
2～3番人気,13,1,0.07692307692307693,31.538461538461537,0.3076923076923077,36.15384615384615,LOW SAMPLE
4～6番人気,4,1,0.25,215.0,0.5,110.00000000000001,LOW SAMPLE
7番人気以下,1,0,0,0.0,0,0.0,LOW SAMPLE
