filter,races,horses,top1_wins,top1_places,win_rate,place_rate,logloss,brier,auc,top1_accuracy,top3_accuracy,win_investment,win_payout,win_profit,win_roi,place_investment,place_payout,place_profit,place_roi,top1_mean_odds,top1_median_odds,hit_mean_odds,hit_median_odds,top1_mean_popularity,top1_median_popularity
1勝以上,14,191,3,6,0.21428571428571427,0.42857142857142855,0.25620279329133616,0.06775135611064853,0.6501210653753027,0.21428571428571427,0.35714285714285715,1400,1040.0,-360.0,74.28571428571429,1400,950.0,-450.0,67.85714285714286,50.07142857142857,40.5,34.666666666666664,29.0,2.0,1.0
2勝以上,14,191,3,6,0.21428571428571427,0.42857142857142855,0.25620279329133616,0.06775135611064853,0.6501210653753027,0.21428571428571427,0.35714285714285715,1400,1040.0,-360.0,74.28571428571429,1400,950.0,-450.0,67.85714285714286,50.07142857142857,40.5,34.666666666666664,29.0,2.0,1.0
3勝以上,14,191,3,6,0.21428571428571427,0.42857142857142855,0.25620279329133616,0.06775135611064853,0.6501210653753027,0.21428571428571427,0.35714285714285715,1400,1040.0,-360.0,74.28571428571429,1400,950.0,-450.0,67.85714285714286,50.07142857142857,40.5,34.666666666666664,29.0,2.0,1.0
OP以上,14,191,3,6,0.21428571428571427,0.42857142857142855,0.25620279329133616,0.06775135611064853,0.6501210653753027,0.21428571428571427,0.35714285714285715,1400,1040.0,-360.0,74.28571428571429,1400,950.0,-450.0,67.85714285714286,50.07142857142857,40.5,34.666666666666664,29.0,2.0,1.0
重賞のみ,11,159,3,6,0.2727272727272727,0.5454545454545454,0.24605307556140132,0.0640672988269619,0.6474201474201474,0.2727272727272727,0.36363636363636365,1100,1040.0,-60.0,94.54545454545455,1100,950.0,-150.0,86.36363636363636,53.18181818181818,42.0,34.666666666666664,29.0,2.1818181818181817,1.0
