model,feature_count,rows,win_rate,place_rate,win_roi,place_roi
CA,cleanup,631,0.24,0.56,65.60000000000001,71.39999999999999
CB,cleanup-minus-last-finish,631,0.22,0.54,60.6,68.60000000000001
