policy,race_id,horse_id,horse_expected_position_delta,position_stability_delta,last1_raw_performance_delta,last1_adjusted_performance_delta,hidden_strength_last1_delta,last1_winner_strength_delta,last1_field_strength_delta,last1_margin_delta,usable_history_count_delta
filter-b,2026-0704-02-01-07-07,2023100997,0.0,0.0,-0.025000000000000022,-0.025000000000000022,0.0,-0.125,-0.14801587301587302,0.0,-3
filter-b,2026-0704-02-01-07-07,2023109031,0.12,-0.19390719429665315,-0.15573459061106706,-0.19071722949995595,-0.03498263888888889,0.0,0.0,-13.0,-5
filter-b,2026-0704-02-01-07-07,2023101143,0.0,0.0,-0.9557336864793043,-0.9557336864793043,0.0,0.0,0.0,0.0,-4
filter-b,2026-0704-02-01-07-07,2021105715,0.0,0.0,-0.2000001223609282,-0.2000001223609282,0.0,-0.25,-0.14766150914476273,-15.0,-5
filter-b,2026-0704-02-01-07-07,2023105035,0.0,0.0,-0.025000000000000022,-0.025000000000000022,0.0,-0.125,-0.14801587301587302,0.0,0
filter-b,2026-0704-02-01-07-07,2023106912,0.0,0.0,-0.02036680686648673,-0.02036680686648673,0.0,-0.25,-0.14766150914476273,9.0,-1
filter-b,2026-0704-02-01-07-07,2022105162,0.0,0.0,-0.13670520833101674,-0.13670520833101674,0.0,-0.16666666666666666,-0.08014257029202682,0.0,-1
filter-b,2026-0704-02-01-07-07,2021102312,0.0,0.0,-0.49522496047482456,-0.49522496047482456,0.0,-0.16666666666666666,-0.1529781812390508,-5.0,-5
filter-b,2026-0704-02-01-07-08,2023104156,0.08285714285714296,-0.00683602558037627,-0.1586281299043813,-0.13194937575809468,0.02667875414628662,-0.14285714285714285,-0.13643578643578644,11.0,-3
filter-b,2026-0704-02-01-07-08,2022104164,0.3529004329004329,-0.24446426744798913,-0.03750875998915981,-0.03750875998915981,0.0,-0.3333333333333333,-0.11706460754158123,0.0,-4
filter-b,2026-0704-02-01-07-08,2023107005,0.0,0.0,-0.02546903255993549,-0.02546903255993549,0.0,-0.5,-0.5444444444444445,0.0,-1
filter-b,2026-0704-02-01-07-08,2023105261,-0.010531135531135521,-0.14936778911380932,-0.03750875998915984,-0.03750875998915984,0.0,-0.3333333333333333,-0.11706460754158123,0.0,-3
filter-b,2026-0704-02-01-07-08,2023106495,0.0,0.0,-0.034119006572959465,-0.034119006572959465,0.0,-0.5,-0.125,0.0,0
filter-b,2026-0704-02-01-07-08,2022104973,0.200952380952381,-0.10431839820506447,-0.03750875998915992,-0.03750875998915992,0.0,-0.3333333333333333,-0.11706460754158123,0.0,-2
filter-b,2026-0704-02-01-07-08,2020105796,-0.14065934065934066,-0.08803129796220419,-0.03750875998915992,-0.03750875998915992,0.0,-0.3333333333333333,-0.11706460754158123,0.0,0
filter-b,2026-0704-02-01-07-09,2022106645,-0.22666666666666668,-0.155492050529208,-0.06654582561522315,-0.06533798831363591,0.0012078373015872446,-0.05263157894736842,-0.053383817335055726,0.0,-4
filter-b,2026-0704-02-01-07-09,2020100621,0.10136752136752136,-0.0021084843941465425,-0.20033008563669819,-0.19464769140086297,0.00568239423583522,-0.2,-0.1483133046290941,2.0,0
filter-b,2026-0704-02-01-07-09,2022102135,-0.027272727272727337,0.12202230274074104,-0.022222222222222254,-0.022222222222222254,0.0,-0.1111111111111111,-0.06305916305916305,0.0,0
filter-b,2026-0704-02-01-07-09,2023102178,-0.03207070707070708,0.07346171012845429,-0.06815694030430386,-0.08226380758825447,-0.014106867283950608,-0.2,-0.018104971295760747,3.0,-2
filter-b,2026-0704-02-01-07-09,2022105817,0.07064719594131363,0.005383964445099587,-0.033333333333333326,-0.033333333333333326,0.0,-0.16666666666666666,-0.19467592592592592,0.0,-3
filter-b,2026-0704-02-01-07-09,2022106231,0.01666666666666672,-0.03333333333333335,-0.2505590970060687,-0.2643211280913321,-0.013762031085263443,-0.2,-0.1483133046290941,11.0,-2
filter-b,2026-0704-02-01-07-09,2023103351,-0.036363636363636376,-0.019912547600791558,-0.5030488978995211,-0.5153510439390409,-0.012302146039519735,-0.2,-0.1483133046290941,17.0,-2
filter-b,2026-0704-02-01-07-09,2019106416,0.017460317460317454,-0.14557410462671128,-0.03750875998915981,-0.03750875998915981,0.0,-1.0,-0.18774281274281274,0.0,0
filter-b,2026-0704-02-01-07-09,2022105392,-0.31794871794871793,-0.33349700123934317,-0.03670533069194498,-0.027427930346168555,0.009277400345776426,-0.2,-0.1483133046290941,50.0,-4
filter-b,2026-0704-02-01-07-10,2022104903,-0.4761904761904763,-0.3000377905147308,-0.026666666666666616,-0.026666666666666616,0.0,-0.13333333333333333,-0.1206426253485077,0.0,-4
filter-b,2026-0704-02-01-07-10,2023102769,0.08446969696969697,-0.14115478335860168,-0.02573571502364469,-0.02573571502364469,0.0,-0.3333333333333333,-0.3143518518518518,0.0,-3
filter-b,2026-0704-02-01-07-10,2021102200,0.0,0.0,-0.034244794387116695,-0.034244794387116695,0.0,-0.3333333333333333,-0.15710481850832728,0.0,0
filter-b,2026-0704-02-01-07-10,2021103809,0.0,0.0,-0.03424479438711664,-0.03424479438711664,0.0,-0.18181818181818182,-0.13871974298992934,0.0,0
filter-b,2026-0704-02-01-07-10,2022103778,0.0,0.0,-0.034244794387116695,-0.034244794387116695,0.0,-0.3333333333333333,-0.15710481850832728,0.0,0
filter-b,2026-0704-02-01-07-10,2020100060,0.0,0.0,-0.037079509578846315,-0.037079509578846315,0.0,-0.25,-0.04274385493498303,0.0,0
filter-b,2026-0704-02-01-07-10,2022105443,-0.12857142857142856,-0.20404081224408144,-0.018181818181818188,-0.018181818181818188,0.0,-0.09090909090909091,-0.13979088544305937,0.0,-4
filter-b,2026-0704-02-01-07-10,2022104601,-0.2566666666666667,-0.15972198067614585,-0.9925297816751903,-0.9898735316751903,0.0026562500000000266,-0.16666666666666666,-0.08162855322781794,0.0,-5
filter-b,2026-0704-02-01-07-10,2022102308,0.04761904761904767,-0.03912303982179759,-0.02352941176470591,-0.02352941176470591,0.0,-0.11764705882352941,-0.15256694605071885,0.0,-3
filter-b,2026-0704-02-01-07-10,2023100937,-0.2222222222222222,-0.22566773346211,-1.0,-0.9783127572016461,0.02168724279835388,-0.3333333333333333,-0.16602564102564102,0.0,-4
filter-b,2026-0704-02-01-07-10,2022102828,0.0,0.0,-0.02352941176470591,-0.02352941176470591,0.0,-0.11764705882352941,-0.15256694605071885,0.0,0
filter-b,2026-0704-02-01-07-10,2022107254,0.0,0.0,-0.017391304347826098,-0.017391304347826098,0.0,-0.08695652173913043,-0.17260828516822763,0.0,0
filter-b,2026-0704-02-01-07-10,2021105931,0.0,0.0,-0.03424479438711664,-0.03424479438711664,0.0,-0.3333333333333333,-0.15710481850832728,0.0,0
filter-b,2026-0704-02-01-07-10,2022102905,-0.022721861471861504,0.013724829187893917,-0.02352941176470591,-0.02352941176470602,-1.1102230246251565e-16,-0.11764705882352941,-0.15256694605071885,0.0,-1
