horse_id,horse_name,races,first_date,last_date,bets,wins_when_bet,total_staked,total_return,avg_pred_prob,avg_odds,avg_popularity,mean_prediction_rank,last_race_id,last_actual_rank,roi
2020104297.0,ルクスビッグスター,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.0192072956191854,393.0,12.0,13.0,2026-0823-04-03-02-06,7.0,
2020104174.0,レジーナローズ,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.1044113394496256,128.0,5.0,4.0,2026-0830-04-03-04-09,4.0,
2020104099.0,マーシヴィガラス,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.0076395642578415,865.0,12.0,13.0,2026-0823-01-02-02-10,1.0,
2020103947.0,ホウオウムサシ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0210974989669705,1710.0,17.0,13.0,2026-0822-04-03-01-06,8.0,
2020105639.0,ハギノサステナブル,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.0693309164592279,71.0,3.0,5.0,2026-0823-07-03-02-07,6.0,
2020105809.0,マイネルフォルツァ,2,2026-08-23,2026-08-29,0,0,0.0,0.0,0.0248013442225932,382.0,10.0,11.5,2026-0829-01-02-03-11,4.0,
2020105949.0,ケンキョ,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0098931943914404,1145.0,15.0,15.0,2026-0830-04-03-04-09,10.0,
2020106922.0,メイショウクモイ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0888606364225913,50.0,3.0,4.0,2026-0822-07-03-01-10,11.0,
2021100130.0,ロードフォアエース,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.0514942711809952,552.0,12.0,7.0,2026-0823-01-02-02-11,5.0,
2021100019.0,マサノカナリア,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0474212090128519,281.0,11.0,9.0,2026-0822-04-03-01-07,7.0,
2020110100.0,シゲルソロソロ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0100225602405002,1201.0,15.0,13.0,2026-0822-07-03-01-07,4.0,
2020110039.0,ユハンヌス,1,2026-08-29,2026-08-29,0,0,0.0,0.0,0.0357006055262968,198.0,6.0,10.0,2026-0829-07-03-03-07,8.0,
2020107018.0,レジェンダリーデイ,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.028131522703419,813.0,9.0,7.0,2026-0830-07-03-04-12,12.0,
2020106966.0,ピンクジン,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0645298346495235,185.0,8.0,9.0,2026-0822-01-02-01-11,6.0,
2020106821.0,ピースフルナイト,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.017584050762831,405.0,12.0,12.0,2026-0822-01-02-01-10,8.0,
2020106131.0,ジオパーククラウン,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.0068459657193868,3041.0,12.0,12.0,2026-0823-04-03-02-08,11.0,
2020106811.0,タイキラフター,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0703956820244332,491.0,11.0,7.0,2026-0822-01-02-01-11,9.0,
2020106698.0,バンディート,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0086295696162397,578.0,12.0,17.0,2026-0830-04-03-04-09,8.0,
2020106694.0,ヴァイザーバルコ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0062340434713005,826.0,14.0,13.0,2026-0822-01-02-01-11,8.0,
2020106635.0,メイショウシナノ,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.018625162957674,493.0,11.0,10.0,2026-0830-07-03-04-06,12.0,
2020106562.0,バンブトンプロ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0021921871857978,3842.0,15.0,15.0,2026-0822-04-03-01-08,12.0,
2020106393.0,ノボリクレバー,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.033247677574289,227.0,8.0,10.0,2026-0822-07-03-01-06,9.0,
2020103931.0,ヴィクトリーロード,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0256663576190186,988.0,13.0,9.0,2026-0822-04-03-01-08,15.0,
2020103910.0,レジェンドシップ,1,2026-08-29,2026-08-29,0,0,0.0,0.0,0.0626805703762538,117.0,5.0,6.0,2026-0829-01-02-03-11,1.0,
2020103902.0,ジャーヴィス,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0205175482268576,366.0,10.0,10.0,2026-0822-07-03-01-07,12.0,
2020102674.0,スペルキャスター,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0385579898348524,83.0,4.0,10.0,2026-0830-04-03-04-09,5.0,
2020103048.0,ティムール,1,2026-08-29,2026-08-29,0,0,0.0,0.0,0.0200798535028222,805.0,12.0,13.0,2026-0829-04-03-03-07,14.0,
2020102836.0,セフィロ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.1255398051734994,33.0,1.0,3.0,2026-0822-04-03-01-07,17.0,
2020102737.0,マリアナトレンチ,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.0100220430509727,583.0,11.0,15.0,2026-0823-07-03-02-07,12.0,
2020102724.0,クールブロン,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0840883381106988,322.0,9.0,5.0,2026-0822-07-03-01-07,9.0,
2020102711.0,ノルドヴェスト,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0066673576105113,783.0,10.0,14.0,2026-0830-04-03-04-06,15.0,
2020102703.0,リバートゥルー,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.1136526868020936,127.0,5.0,2.0,2026-0823-04-03-02-06,6.0,
2020102648.0,ラパンラピッド,1,2026-08-29,2026-08-29,0,0,0.0,0.0,0.1524239522211826,33.0,1.0,2.0,2026-0829-04-03-03-01,5.0,
2020103063.0,マルディランダ,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.2706052469043788,25.0,1.0,2.0,2026-0830-04-03-04-01,4.0,
2020102552.0,クラウドセイル,1,2026-08-23,2026-08-23,0,0,0.0,0.0,0.0124246251466216,2403.0,12.0,10.0,2026-0823-04-03-02-10,11.0,
2020102140.0,アンビバレント,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0442417537583155,626.0,13.0,9.0,2026-0830-01-02-04-11,7.0,
2020102081.0,テンクウハット,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0288245796459817,1820.0,13.0,11.0,2026-0822-04-03-01-09,13.0,
2020102013.0,オリンポスカズマ,1,2026-08-29,2026-08-29,0,0,0.0,0.0,0.0851668650684442,104.0,6.0,5.0,2026-0829-04-03-03-01,3.0,
2020101920.0,メラヴィリオーザ,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0054039305742888,2268.0,13.0,13.0,2026-0830-07-03-04-12,7.0,
2020101872.0,デイトナモード,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.011483198881003,2748.0,17.0,17.0,2026-0822-04-03-01-07,18.0,
2020103053.0,シャンドゥレール,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0189021681593831,296.0,6.0,5.0,2026-0822-07-03-01-09,2.0,
2020103066.0,マルチャン,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0170966929063083,858.0,12.0,14.0,2026-0822-04-03-01-06,7.0,
2020103901.0,ウインドワンピース,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0136138687585457,1802.0,11.0,10.0,2026-0822-07-03-01-10,6.0,
2020103537.0,ジーククローネ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0554498821846031,67.0,4.0,3.0,2026-0822-07-03-01-09,4.0,
2020103881.0,コスモサガルマータ,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0292760501163928,187.0,6.0,12.0,2026-0822-04-03-01-06,16.0,
2020103772.0,エイトスターズ,1,2026-08-29,2026-08-29,0,0,0.0,0.0,0.0070606915012363,1570.0,11.0,11.0,2026-0829-01-02-03-09,11.0,
2020103727.0,ゴールドシーン,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0340475495369662,133.0,5.0,10.0,2026-0822-04-03-01-10,13.0,
2020103713.0,タイセイフェリーク,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0284123175047795,625.0,9.0,9.0,2026-0830-04-03-04-07,8.0,
2020103650.0,ドゥレッツァ,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0647006126688993,92.0,4.0,4.0,2026-0830-04-03-04-08,6.0,
2020103632.0,スイミーユニバンス,1,2026-08-30,2026-08-30,0,0,0.0,0.0,0.0285589778120321,391.0,11.0,11.0,2026-0830-01-02-04-10,3.0,
2020103517.0,レッドシュヴェルト,1,2026-08-22,2026-08-22,0,0,0.0,0.0,0.0184864400272619,470.0,12.0,13.0,2026-0822-04-03-01-07,10.0,
2020103148.0,ショウナンライシン,1,2026-08-29,2026-08-29,0,0,0.0,0.0,0.0324673163302513,333.0,7.0,8.0,2026-0829-04-03-03-08,7.0,
