filter,races,horses,top1_wins,top1_places,win_rate,place_rate,logloss,brier,auc,top1_accuracy,top3_accuracy,win_investment,win_payout,win_profit,win_roi,place_investment,place_payout,place_profit,place_roi,top1_mean_odds,top1_median_odds,hit_mean_odds,hit_median_odds,top1_mean_popularity,top1_median_popularity,month
ALL,288,3721,65,151,0.22569444444444445,0.5243055555555556,0.23946665697712624,0.06629924701700868,0.7613148121176814,0.22569444444444445,0.5798611111111112,28800,18990.0,-9810.0,65.9375,28800,22640.0,-6160.0,78.61111111111111,68.17708333333333,33.5,29.215384615384615,27.0,2.2465277777777777,1.0,2026-07
ALL,144,1860,43,90,0.2986111111111111,0.625,0.23874374432661194,0.06546223969103933,0.7646618427868428,0.2986111111111111,0.5902777777777778,14400,11680.0,-2720.0,81.11111111111111,14400,12220.0,-2180.0,84.86111111111111,72.75694444444444,30.0,27.162790697674417,23.0,2.076388888888889,1.0,2026-08
A_1plus,8,110,1,3,0.125,0.375,0.25392195713509946,0.06748348541706793,0.6446078431372549,0.125,0.375,800,480.0,-320.0,60.0,800,530.0,-270.0,66.25,41.25,42.0,48.0,48.0,1.5,1.5,2026-07
A_1plus,6,81,2,3,0.3333333333333333,0.5,0.2593002251084478,0.0681151311266222,0.6644444444444444,0.3333333333333333,0.3333333333333333,600,560.0,-40.0,93.33333333333333,600,420.0,-180.0,70.0,61.833333333333336,34.0,28.0,28.0,2.6666666666666665,1.0,2026-08
B_2plus,8,110,1,3,0.125,0.375,0.25392195713509946,0.06748348541706793,0.6446078431372549,0.125,0.375,800,480.0,-320.0,60.0,800,530.0,-270.0,66.25,41.25,42.0,48.0,48.0,1.5,1.5,2026-07
B_2plus,6,81,2,3,0.3333333333333333,0.5,0.2593002251084478,0.0681151311266222,0.6644444444444444,0.3333333333333333,0.3333333333333333,600,560.0,-40.0,93.33333333333333,600,420.0,-180.0,70.0,61.833333333333336,34.0,28.0,28.0,2.6666666666666665,1.0,2026-08
