filter,win_rate_ci_low,win_rate_ci_high,win_roi_ci_low,win_roi_ci_high,place_roi_ci_low,place_roi_ci_high,estimate,ci_low,ci_high
A_1plus,0.0,0.42857142857142855,0.0,162.14285714285714,29.285714285714285,111.42857142857143,,,
B_2plus,0.0,0.42857142857142855,0.0,162.14285714285714,29.285714285714285,111.42857142857143,,,
1勝_ONLY,,,,,,,,,
A_minus_B_win_roi_difference,,,,,,,0.0,-110.0,114.28571428571429
