popularity,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1番人気,6,2,0.3333333333333333,60.0,1,114.99999999999999,LOW SAMPLE
2～3番人気,4,0,0,0.0,0,0.0,LOW SAMPLE
