date,race_id,horse_id,horse_name,actual_rank,target,odds,win_odds,popularity,ranker_score,ranker_win_probability,prediction_rank,win_payout,model_train_end_date,evaluation_mode,ev,ev_bucket
2025-09-06,2025-0906-06-04-01-09,2022105501,プリムツァール,2,0,16.0,1.600000023841858,1,0.6658420590281182,0.4471039805133165,1,0.0,2025-08-31,monthly_walk_forward,0.715366379481096,100%未満(見送り)
2025-09-06,2025-0906-06-04-01-10,2020103795,ネイビースター,5,0,137.0,13.699999809265137,5,-1.2865957846193343,0.0506008550520304,4,0.0,2025-08-31,monthly_walk_forward,0.6932317045614693,100%未満(見送り)
2025-09-06,2025-0906-06-04-01-10,2021100469,カフェアローロ,4,0,252.0,25.200000762939453,6,-1.3128473106196508,0.0490619765370144,5,0.0,2025-08-31,monthly_walk_forward,1.2363618461640804,120-150%
2025-09-06,2025-0906-06-04-01-10,2021105155,パンジャ,1,1,30.0,3.0,2,-0.0904560451202927,0.2066841323874212,2,300.0,2025-08-31,monthly_walk_forward,0.6200523971622636,100%未満(見送り)
2025-09-06,2025-0906-06-04-01-10,2022102821,ロードリベラシオン,6,0,63.0,6.300000190734863,3,-0.3986570890611185,0.1438257120999067,3,0.0,2025-08-31,monthly_walk_forward,0.9061020136619897,100%未満(見送り)
2025-09-06,2025-0906-06-04-01-10,2022105442,ラブリージャブリー,2,0,18.0,1.7999999523162842,1,0.6259715825652155,0.4801255969192741,1,0.0,2025-08-31,monthly_walk_forward,0.8642260515605208,100%未満(見送り)
2025-09-06,2025-0906-06-04-01-11,2020102740,コントラポスト,3,0,67.0,6.699999809265137,2,0.7401276628917025,0.1292694613414592,3,0.0,2025-08-31,monthly_walk_forward,0.8661053663315835,100%未満(見送り)
2025-09-06,2025-0906-06-04-01-11,2021105423,シヴァース,7,0,112.0,11.199999809265137,5,0.5466762929824839,0.1029567736055066,5,0.0,2025-08-31,monthly_walk_forward,1.1531158447442278,100-120%
2025-09-06,2025-0906-06-04-01-11,2021106550,タガノエルピーダ,13,0,133.0,13.300000190734863,8,0.5929571517145368,0.1087179914885982,4,0.0,2025-08-31,monthly_walk_forward,1.4459493075346674,120-150%
2025-09-06,2025-0906-06-04-01-11,2022103205,エリカエクスプレス,11,0,28.0,2.799999952316284,1,0.8780998347371259,0.1520514994345949,1,0.0,2025-08-31,monthly_walk_forward,0.4257441911664852,100%未満(見送り)
2025-09-06,2025-0906-06-04-01-11,2022104896,カラマティアノス,10,0,125.0,12.5,6,0.8075958327728191,0.1399483450879884,2,0.0,2025-08-31,monthly_walk_forward,1.749354313599855,150-200%
2025-09-06,2025-0906-09-04-01-09,2020103123,マルカブリッツ,5,0,74.0,7.400000095367432,3,-0.5174492265286627,0.1034571358005299,4,0.0,2025-08-31,monthly_walk_forward,0.7655828147903626,100%未満(見送り)
2025-09-06,2025-0906-09-04-01-09,2021103154,メイショウカシワデ,7,0,258.0,25.799999237060547,6,-1.1240478142736958,0.0506790181994579,5,0.0,2025-08-31,monthly_walk_forward,1.3075186308809914,120-150%
2025-09-06,2025-0906-09-04-01-09,2022100664,グランキングオー,3,0,84.0,8.399999618530273,4,0.1330435384184005,0.2223923103219648,2,0.0,2025-08-31,monthly_walk_forward,1.8680953218685705,150-200%
2025-09-06,2025-0906-09-04-01-09,2022102516,バッケンレコード,4,0,58.0,5.800000190734863,2,0.0637689555106109,0.2049863674298443,3,0.0,2025-08-31,monthly_walk_forward,1.1889209701911436,100-120%
2025-09-06,2025-0906-09-04-01-09,2022104928,トリポリタニア,1,1,16.0,1.600000023841858,1,0.413808071171027,0.3094369020960548,1,160.0,2025-08-31,monthly_walk_forward,0.49509905073123833,100%未満(見送り)
2025-09-06,2025-0906-09-04-01-10,2021101387,オーロラエックス,1,1,53.0,5.300000190734863,3,0.564757585727636,0.1500033096320879,4,530.0,2025-08-31,monthly_walk_forward,0.7950175696609267,100%未満(見送り)
2025-09-06,2025-0906-09-04-01-10,2021102246,テーオーダグラス,12,0,46.0,4.599999904632568,2,0.6083439160072951,0.1578958113519855,2,0.0,2025-08-31,monthly_walk_forward,0.7263207171610153,100%未満(見送り)
2025-09-06,2025-0906-09-04-01-10,2021104854,ミナデオロ,2,0,73.0,7.300000190734863,5,0.6292219605327166,0.1618221348461522,1,0.0,2025-08-31,monthly_walk_forward,1.181301615242034,100-120%
2025-09-06,2025-0906-09-04-01-10,2021106369,チャンネルトンネル,3,0,56.0,5.599999904632568,4,0.241302696166468,0.1025265914668175,5,0.0,2025-08-31,monthly_walk_forward,0.5741489024364803,100%未満(見送り)
2025-09-06,2025-0906-09-04-01-10,2022104596,ガルダイア,11,0,39.0,3.900000095367432,1,0.6065522523439442,0.1575633428257806,3,0.0,2025-08-31,monthly_walk_forward,0.6144970520469557,100%未満(見送り)
2025-09-06,2025-0906-09-04-01-11,2020103785,コンティノアール,4,0,122.0,12.199999809265137,4,0.8257219534237676,0.1700587455748219,1,0.0,2025-08-31,monthly_walk_forward,2.0747166635766954,200%以上
2025-09-06,2025-0906-09-04-01-11,2021100895,サフランヒーロー,12,0,138.0,13.800000190734863,5,0.583227724235575,0.1278498605628178,3,0.0,2025-08-31,monthly_walk_forward,1.7643281001523115,150-200%
2025-09-06,2025-0906-09-04-01-11,2021101523,キャプテンネキ,13,0,188.0,18.799999237060547,7,0.2595977370570512,0.087366808904764,4,0.0,2025-08-31,monthly_walk_forward,1.6424959407539779,150-200%
2025-09-06,2025-0906-09-04-01-11,2021102868,モズミギカタアガリ,3,0,69.0,6.900000095367432,2,0.1351602987953091,0.0754687349245,5,0.0,2025-08-31,monthly_walk_forward,0.5207342781763095,100%未満(見送り)
2025-09-06,2025-0906-09-04-01-11,2021110126,インユアパレス,1,1,17.0,1.7000000476837158,1,0.6868649991618893,0.1444282460221286,2,170.0,2025-08-31,monthly_walk_forward,0.24552802512449404,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-09,2021100739,ワンダーカモン,11,0,125.0,12.5,6,-0.1654118138519983,0.1257063730231787,3,0.0,2025-08-31,monthly_walk_forward,1.5713296627897337,150-200%
2025-09-07,2025-0907-01-02-06-09,2021103268,メイショウタムシバ,9,0,100.0,10.0,5,-0.1931701441423294,0.1216675050131694,4,0.0,2025-08-31,monthly_walk_forward,1.216675050131694,120-150%
2025-09-07,2025-0907-01-02-06-09,2022102280,チュウワクリスエス,2,0,41.0,4.099999904632568,3,-0.3421679712984478,0.1021048671085583,5,0.0,2025-08-31,monthly_walk_forward,0.4186299454076101,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-09,2022105798,オンザスクエア,13,0,40.0,4.0,1,0.1644142485744796,0.1853006194518631,1,0.0,2025-08-31,monthly_walk_forward,0.7412024778074524,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-09,2022107254,エンプレスフレーム,4,0,40.0,4.0,2,0.0094231932210783,0.1544139615717828,2,0.0,2025-08-31,monthly_walk_forward,0.6176558462871312,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-10,2021101485,カテリーナ,7,0,64.0,6.400000095367432,3,0.680878656029013,0.1782227034920434,2,0.0,2025-08-31,monthly_walk_forward,1.1406253193457192,100-120%
2025-09-07,2025-0907-01-02-06-10,2021105144,トレミニョン,8,0,199.0,19.899999618530273,8,-0.0599035498622398,0.074554129643775,5,0.0,2025-08-31,monthly_walk_forward,1.4836271514709791,120-150%
2025-09-07,2025-0907-01-02-06-10,2021107085,ウインアクトゥール,3,0,164.0,16.399999618530273,7,0.0980242717233232,0.0897764661280871,4,0.0,2025-08-31,monthly_walk_forward,1.4723340102536244,120-150%
2025-09-07,2025-0907-01-02-06-10,2022104784,ルクスジニア,6,0,21.0,2.0999999046325684,1,0.7729771064545153,0.1986183272593549,1,0.0,2025-08-31,monthly_walk_forward,0.4170984683029256,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-10,2022106793,コスモアンソロジー,2,0,86.0,8.600000381469727,4,0.2952306119629065,0.1132197171332718,3,0.0,2025-08-31,monthly_walk_forward,0.973689610536032,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-11,2020100254,ニシノレヴナント,9,0,127.0,12.699999809265137,6,0.7238918193440002,0.1391133556021123,2,0.0,2025-08-31,monthly_walk_forward,1.7667395896130593,150-200%
2025-09-07,2025-0907-01-02-06-11,2020105798,マイネルカンパーナ,5,0,88.0,8.800000190734863,4,0.5756705627924609,0.1168523485735944,4,0.0,2025-08-31,monthly_walk_forward,1.0283006897354474,100-120%
2025-09-07,2025-0907-01-02-06-11,2020106909,ゴールデンスナップ,2,0,30.0,3.0,1,0.3878134731573498,0.0936816956039369,5,0.0,2025-08-31,monthly_walk_forward,0.2810450868118107,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-11,2021104427,ランスオブクイーン,7,0,53.0,5.300000190734863,2,0.7437923445099269,0.1424087567704637,1,0.0,2025-08-31,monthly_walk_forward,0.7547664380457723,100%未満(見送り)
2025-09-07,2025-0907-01-02-06-11,2021105104,サンライズソレイユ,10,0,110.0,11.0,5,0.6395697802312339,0.1259754075538183,3,0.0,2025-08-31,monthly_walk_forward,1.3857294830920015,120-150%
2025-09-07,2025-0907-06-04-02-01,2017104238,フームスムート,4,0,178.0,17.799999237060547,5,-1.2858739094904246,0.0971258530897501,3,0.0,2025-08-31,monthly_walk_forward,1.7288401108964064,150-200%
2025-09-07,2025-0907-06-04-02-01,2019104044,メイショウカゲカツ,9,0,76.0,7.599999904632568,3,-1.3638734240553712,0.0886098882831155,4,0.0,2025-08-31,monthly_walk_forward,0.6734351425011803,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-01,2020101918,ウィズユアドリーム,1,1,17.0,1.7000000476837158,1,-0.3953083583737986,0.2769208623425537,1,170.0,2025-08-31,monthly_walk_forward,0.470765479186957,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-01,2020103295,エクロジャイト,6,0,97.0,9.699999809265137,4,-0.8831141813960216,0.1559979032257759,2,0.0,2025-08-31,monthly_walk_forward,1.5131796315357875,150-200%
2025-09-07,2025-0907-06-04-02-01,2020106585,ヴォンヌヴォー,11,0,1564.0,156.39999389648438,12,-1.709276692298179,0.0590206080038585,5,0.0,2025-08-31,monthly_walk_forward,9.230822731570266,200%以上
2025-09-07,2025-0907-06-04-02-09,2020103876,モンドプリューム,1,1,46.0,4.599999904632568,2,-0.2132209752150664,0.0972616451438438,5,460.0,2025-08-31,monthly_walk_forward,0.4474035583860882,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-09,2021100899,ビッグドリーム,2,0,30.0,3.0,1,-0.0958691712708161,0.111660795655596,3,0.0,2025-08-31,monthly_walk_forward,0.334982386966788,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-09,2021103711,ロサンゼルス,13,0,79.0,7.900000095367432,5,-0.094696328877462,0.1118149731932484,2,0.0,2025-08-31,monthly_walk_forward,0.8833382988901692,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-09,2022102790,カネショウレジェン,3,0,59.0,5.900000095367432,4,-0.1781284076530908,0.1013611714576279,4,0.0,2025-08-31,monthly_walk_forward,0.5980309212665592,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-09,2022106261,タッカージーティー,9,0,56.0,5.599999904632568,3,0.5554248492636821,0.2402533340103872,1,0.0,2025-08-31,monthly_walk_forward,1.345418647545825,120-150%
2025-09-07,2025-0907-06-04-02-10,2020110039,ユハンヌス,7,0,192.0,19.200000762939453,6,-0.3981103104633042,0.0612820094132464,5,0.0,2025-08-31,monthly_walk_forward,1.1766146274887936,100-120%
2025-09-07,2025-0907-06-04-02-10,2021101654,トーラスシャイン,6,0,62.0,6.199999809265137,3,0.0505110737343169,0.1038841337321553,3,0.0,2025-08-31,monthly_walk_forward,0.6440816093250368,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-10,2021105242,シカゴスティング,4,0,145.0,14.5,4,-0.0168951937343189,0.0959641503819868,4,0.0,2025-08-31,monthly_walk_forward,1.3914801805388086,120-150%
2025-09-07,2025-0907-06-04-02-10,2022102434,ルージュラナキラ,1,1,50.0,5.0,2,1.0155627850346185,0.3233163105997419,1,500.0,2025-08-31,monthly_walk_forward,1.6165815529987095,150-200%
2025-09-07,2025-0907-06-04-02-10,2022110014,マックアルイーン,2,0,16.0,1.600000023841858,1,0.6830300367146511,0.218637724881257,2,0.0,2025-08-31,monthly_walk_forward,0.3498203650227408,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-11,2022101192,エストゥペンダ,5,0,54.0,5.400000095367432,3,0.7408584960877806,0.1763600594478551,2,0.0,2025-08-31,monthly_walk_forward,0.9523443378374234,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-11,2022102296,ケリフレッドアスク,1,1,249.0,24.899999618530273,7,0.0718456649042179,0.0802746418584648,4,2490.0,2025-08-31,monthly_walk_forward,1.998838551653428,150-200%
2025-09-07,2025-0907-06-04-02-11,2022104767,ジョスラン,2,0,48.0,4.800000190734863,2,0.2956601686288624,0.1044558986024579,3,0.0,2025-08-31,monthly_walk_forward,0.5013883332151794,100%未満(見送り)
2025-09-07,2025-0907-06-04-02-11,2022105696,サヴォンリンナ,9,0,312.0,31.200000762939453,9,0.0519964563374867,0.0784217857684137,5,0.0,2025-08-31,monthly_walk_forward,2.4467597758055817,200%以上
2025-09-07,2025-0907-06-04-02-11,2022105815,リンクスティップ,8,0,24.0,2.4000000953674316,1,0.8547861511623185,0.2016553864730433,1,0.0,2025-08-31,monthly_walk_forward,0.4839729467666602,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-08,2019103742,ムガ,4,0,180.0,18.0,4,-1.6951248796466676,0.0367448409238267,4,0.0,2025-08-31,monthly_walk_forward,0.6614071366288805,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-08,2019105544,レッドベルアーム,3,0,92.0,9.199999809265137,3,-1.0931918404649683,0.0746010326392761,3,0.0,2025-08-31,monthly_walk_forward,0.6863294860523224,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-08,2020106399,ユメハハテシナク,5,0,210.0,21.0,5,-1.7927342417458474,0.0327585268207777,5,0.0,2025-08-31,monthly_walk_forward,0.6879290632363316,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-08,2021101603,ナイトスラッガー,2,0,16.0,1.600000023841858,1,0.3704064149758633,0.4173956821608243,2,0.0,2025-08-31,monthly_walk_forward,0.6678331014088074,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-08,2022104145,インヴォーグ,1,1,22.0,2.200000047683716,2,0.4123326425246409,0.4384999174552951,1,220.0,2025-08-31,monthly_walk_forward,0.9646998393109547,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-10,2021102718,ノボリショウリュウ,3,0,129.0,12.899999618530272,5,0.2017646034992279,0.101030360943547,3,0.0,2025-08-31,monthly_walk_forward,1.303291617631732,120-150%
2025-09-07,2025-0907-09-04-02-10,2021103061,ムーム,12,0,101.0,10.100000381469728,3,0.1516614954899788,0.0952472595170637,4,0.0,2025-08-31,monthly_walk_forward,0.9619973574562896,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-10,2021103214,ネグレスコ,4,0,112.0,11.199999809265137,4,0.1018092606008114,0.0898216963883366,5,0.0,2025-08-31,monthly_walk_forward,1.006002982417241,100-120%
2025-09-07,2025-0907-09-04-02-10,2021106658,ストレングス,2,0,57.0,5.699999809265137,2,0.7324617994505995,0.1886268485865496,2,0.0,2025-08-31,monthly_walk_forward,1.0751730009656166,100-120%
2025-09-07,2025-0907-09-04-02-10,2022110081,テーオーエルビス,1,1,13.0,1.2999999523162842,1,1.16466664323194,0.3136403678388239,1,130.0,2025-08-31,monthly_walk_forward,0.40773246323493284,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-11,2018106055,ヨシノイースター,7,0,94.0,9.399999618530272,3,0.3677202484301621,0.0527792081118287,5,0.0,2025-08-31,monthly_walk_forward,0.4961245361175196,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-11,2019105394,ママコチャ,2,0,32.0,3.200000047683716,2,1.3966078253790766,0.1770749873637181,2,0.0,2025-08-31,monthly_walk_forward,0.5666399680074913,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-11,2019106526,トウシンマカオ,3,0,25.0,2.5,1,1.545626367254566,0.2110065618687895,1,0.0,2025-08-31,monthly_walk_forward,0.5275164046719737,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-11,2022101623,アブキールベイ,6,0,211.0,21.100000381469727,9,0.5882497175654083,0.0684130613408316,4,0.0,2025-08-31,monthly_walk_forward,1.4435156203890585,120-150%
2025-09-07,2025-0907-09-04-02-11,2022110108,エコロジーク,16,0,111.0,11.100000381469728,4,0.9466061819993264,0.1042883441019026,3,0.0,2025-08-31,monthly_walk_forward,1.1576006593139652,100-120%
2025-09-07,2025-0907-09-04-02-12,2018104030,ワーズワース,7,0,36.0,3.5999999046325684,2,0.1738634759866875,0.1609616165537555,1,0.0,2025-08-31,monthly_walk_forward,0.5794618042430237,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-12,2021105598,ダノンスウィッチ,1,1,75.0,7.5,3,-0.3405134886586662,0.0878838942578216,5,750.0,2025-08-31,monthly_walk_forward,0.6591292069336621,100%未満(見送り)
2025-09-07,2025-0907-09-04-02-12,2022102493,トリリオンボーイ,5,0,104.0,10.399999618530272,4,-0.1853128470080534,0.1054888805856363,3,0.0,2025-08-31,monthly_walk_forward,1.0970843178498029,100-120%
2025-09-07,2025-0907-09-04-02-12,2022104749,ソリスクラヴィス,9,0,27.0,2.700000047683716,1,0.1382027178290687,0.154348355561996,2,0.0,2025-08-31,monthly_walk_forward,0.4167405673772923,100%未満(見送り)
