top_n,predicted_mean_probability,actual_hit_rate,gap_actual_minus_predicted
1,0.2509384524903702,0.24769514443761526,-0.0032433080527549674
2,0.41823029676837215,0.4013521819299324,-0.01687811483843976
3,0.544016377161452,0.547019053472649,0.0030026763111969945
