ev_bucket,bets,hit_count,hit_rate,mean_ev,investment,return,roi
100%未満(見送り),4858,975,0.2006998764923837,0.6378973582534301,485800,368690.0,75.89337175792508
100-120%,828,69,0.08333333333333333,1.0934192842122368,82800,53420.0,64.51690821256038
120-150%,771,59,0.07652399481193256,1.3386684983148573,77100,56450.0,73.2166018158236
150-200%,697,34,0.04878048780487805,1.7185512869011934,69700,45430.0,65.1793400286944
200%以上,981,33,0.03363914373088685,3.4218491632137775,98100,85560.0,87.21712538226299
