variant,excluded_largest_payouts,bets,roi,profit
baseline,0,1627,69.72956361401353,-49250.0
baseline,1,1626,68.61623616236162,-51030.0
baseline,3,1624,67.02586206896551,-53550.0
drop_prize_ratio_vs_last3_mean,0,1627,69.18254456054088,-50140.0
drop_prize_ratio_vs_last3_mean,1,1626,68.06888068880689,-51920.0
drop_prize_ratio_vs_last3_mean,3,1624,66.79187192118226,-53930.0
