variant,removed_features,feature_count,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit,top1_average_popularity,top1_average_odds,top1_ev_ge_1_bets,top1_ev_ge_1_roi,temperature_policy
baseline,,104,1627,21528,0.06446136903359943,0.23532901444977786,0.7614559308898655,0.24892440073755379,0.5562384757221881,69.72956361401353,-49250.0,1.9532882606023356,4.341364474492932,469,58.67803837953092,
drop_prize_ratio_vs_last3_mean,prize_ratio_vs_last3_mean,103,1627,21528,0.06448966762555346,0.23542224138438583,0.7611722278505401,0.24769514443761526,0.5562384757221881,69.18254456054088,-50140.0,1.9784880147510755,4.4145055,471,59.044585987261144,baseline_prior_only_monthly
