bin,predictions,mean_predicted_probability,actual_win_rate
0～5%,42,0.02723568852592157,0.023809523809523808
5～10%,28,0.07600652730264756,0.03571428571428571
10～20%,25,0.1299123956285995,0.16
20～30%,12,0.26062630637033096,0.3333333333333333
30～40%,2,0.33241427226681913,0
40%以上,1,0.4311494949842189,0
