variant,feature_count,races,horses,top1_hit_rate,top1_win_roi,top1_place_roi,ai_favorite_mean_popularity
before_margin_correction,92,1627,21528,0.2569145666871543,75.92501536570374,80.71296865396435,2.110633066994468
after_margin_correction,95,1627,21528,0.26429010448678547,80.4978488014751,82.1020282728949,2.1130915795943452
