racecourse,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,216,34,0.1574074074074074,92.4074074074074,0.32407407407407407,70.55555555555556,
中山,504,51,0.10119047619047619,48.432539682539684,0.30158730158730157,76.78571428571429,
京都,552,61,0.1105072463768116,67.95289855072464,0.302536231884058,78.26086956521739,
函館,144,20,0.1388888888888889,45.27777777777778,0.3680555555555556,110.1388888888889,
小倉,239,29,0.12133891213389121,59.33054393305439,0.27615062761506276,93.76569037656904,
新潟,216,20,0.09259259259259259,61.111111111111114,0.2175925925925926,60.370370370370374,
札幌,96,7,0.07291666666666667,30.0,0.21875,48.95833333333333,
東京,535,80,0.14953271028037382,96.3177570093458,0.34953271028037386,86.48598130841123,
福島,240,20,0.08333333333333333,62.125,0.23333333333333334,55.208333333333336,
阪神,492,80,0.16260162601626016,95.79268292682926,0.3313008130081301,72.60162601626017,
