odds,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
10.0～19.9,10,4,0.4,66.0,0.7,76.0,LOW SAMPLE
20.0～,40,6,0.15,35.75,0.45,50.5,
