month,races,top1_win_rate,win_ROI,place_ROI
2025-09,240,0.15,68.79166666666666,82.41666666666667
2025-10,264,0.1590909090909091,72.42424242424242,89.92424242424242
2025-11,312,0.11217948717948718,77.6923076923077,66.85897435897435
2025-12,264,0.16666666666666666,98.56060606060606,105.64393939393939
2026-01,276,0.09057971014492754,47.64492753623188,101.30434782608695
2026-02,282,0.1347517730496454,72.02127659574468,64.7872340425532
2026-03,300,0.11333333333333333,81.86666666666666,61.16666666666667
2026-04,264,0.10227272727272728,74.35606060606061,51.5530303030303
2026-05,336,0.09226190476190477,58.36309523809524,74.01785714285715
2026-06,264,0.1590909090909091,108.97727272727273,87.00757575757576
2026-07,288,0.1284722222222222,48.78472222222222,75.17361111111111
2026-08,144,0.0763888888888889,43.47222222222222,58.611111111111114
TOTAL,3234,0.12430426716141002,71.80890538033395,76.80581323438467
