variant,feature_count,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit
baseline_cleanup_b,104,1627,21528,0.06446136903359943,0.23532901444977786,0.7614559308898655,0.24892440073755379,0.5562384757221881,69.72956361401353,-49250.0
dedup_no_raw_margin,87,1627,21528,0.06448988558695871,0.2354223643692869,0.7612395710333453,0.2464658881376767,0.5519360786724032,68.24830977258759,-51660.0
no_career_win_rate_no_career_races,85,1627,21528,0.06464048007763361,0.2366565181986936,0.7560589021371832,0.24769514443761526,0.5384142593730793,69.61893054701905,-49430.0
cleanup_e_winning_margin_class_matched,93,1627,21528,0.06457318819699832,0.23606296834773596,0.7582861377710262,0.24769514443761526,0.547019053472649,69.06576521204671,-50330.0
